symbol,date,time,open,high,low,close,volume
KKR,2026-09-08,09:30,106.55,107.2,106.39,107.2,64479
KKR,2026-09-08,09:31,106.795,106.795,106.76,106.76,3256
KKR,2026-09-08,09:32,106.765,107.58,106.51,107.58,5113
KKR,2026-09-08,09:33,107.415,107.72,107.415,107.65,6843
KKR,2026-09-08,09:34,107.99,108.27,107.67,107.88,5800
KKR,2026-09-08,09:35,107.58,107.96,107.57,107.815,8131
KKR,2026-09-08,09:36,107.815,107.96,107.55,107.55,7460
KKR,2026-09-08,09:37,107.78,107.78,107.54,107.77,9559
KKR,2026-09-08,09:38,107.76,107.76,107.445,107.445,11781
KKR,2026-09-08,09:39,107.44,107.44,107.29,107.435,1666
KKR,2026-09-08,09:40,107.41,107.56,107.38,107.56,9365
KKR,2026-09-08,09:41,107.55,107.55,107.375,107.375,1887
KKR,2026-09-08,09:42,107.375,107.53,107.2,107.52,10901
KKR,2026-09-08,09:43,107.46,107.66,107.455,107.455,1944
KKR,2026-09-08,09:44,107.445,107.445,107.1944,107.37,732
KKR,2026-09-08,09:45,107.283,107.4475,107.2401,107.25,5139
KKR,2026-09-08,09:46,107.2,107.33,106.92,107.12,9159
KKR,2026-09-08,09:47,106.782,107.63,106.782,107.63,3885
KKR,2026-09-08,09:48,107.43,107.66,107.43,107.66,804
KKR,2026-09-08,09:49,107.37,107.37,107.1527,107.1527,4437
KKR,2026-09-08,09:50,107.6399,107.6399,107.425,107.425,2383
KKR,2026-09-08,09:51,107.48,107.48,107.48,107.48,372
KKR,2026-09-08,09:52,107.629,107.629,107.21,107.315,5523
KKR,2026-09-08,09:53,107.45,107.47,107.2713,107.42,3152
KKR,2026-09-08,09:54,107.42,107.42,107.42,107.42,0
KKR,2026-09-08,09:55,107.35,107.535,107.25,107.29,22847
KKR,2026-09-08,09:56,107.43,107.465,107.3913,107.465,1695
KKR,2026-09-08,09:57,107.37,107.46,107.29,107.46,16836
KKR,2026-09-08,09:58,107.375,107.49,107.375,107.49,1300
KKR,2026-09-08,09:59,107.57,107.6,107.51,107.51,1501
KKR,2026-09-08,10:00,107.66,107.66,107.655,107.655,962
KKR,2026-09-08,10:01,107.705,107.705,107.55,107.55,3533
KKR,2026-09-08,10:02,107.66,107.66,107.4,107.405,5129
KKR,2026-09-08,10:03,107.24,107.24,107.14,107.145,2533
KKR,2026-09-08,10:04,107.165,107.18,107.16,107.16,1403
KKR,2026-09-08,10:05,107.205,107.22,107.205,107.22,654
KKR,2026-09-08,10:06,107.25,107.25,107.115,107.25,5110
KKR,2026-09-08,10:07,107.26,107.26,107.26,107.26,468
KKR,2026-09-08,10:08,107.23,107.34,107.23,107.265,1748
KKR,2026-09-08,10:09,107.25,107.3599,107.25,107.25,10965
KKR,2026-09-08,10:10,107.35,107.41,107.35,107.38,1896
KKR,2026-09-08,10:11,107.34,107.36,107.34,107.36,7431
KKR,2026-09-08,10:12,107.38,107.38,107.38,107.38,213
KKR,2026-09-08,10:13,107.5,107.555,107.45,107.45,5456
KKR,2026-09-08,10:14,107.57,107.57,107.345,107.345,1131
KKR,2026-09-08,10:15,107.4,107.5361,107.34,107.34,2488
KKR,2026-09-08,10:16,107.54,107.59,107.41,107.59,1894
KKR,2026-09-08,10:17,107.475,107.475,107.475,107.475,1603
KKR,2026-09-08,10:18,107.42,107.42,107.3001,107.3001,572
