symbol,date,time,open,high,low,close,volume
MDLZ,2026-09-08,09:30,61.005,61.2999,61.005,61.25,120914
MDLZ,2026-09-08,09:31,61.19,61.19,61.03,61.159,17023
MDLZ,2026-09-08,09:32,61.22,61.37,61.22,61.37,11520
MDLZ,2026-09-08,09:33,61.375,61.375,60.92,60.93,41357
MDLZ,2026-09-08,09:34,60.905,61.03,60.87,60.93,35027
MDLZ,2026-09-08,09:35,60.93,61,60.9,60.97,13551
MDLZ,2026-09-08,09:36,60.97,61,60.89,60.97,9491
MDLZ,2026-09-08,09:37,60.95,60.955,60.69,60.69,24398
MDLZ,2026-09-08,09:38,60.715,60.745,60.63,60.66,10429
MDLZ,2026-09-08,09:39,60.655,60.66,60.585,60.65,18089
MDLZ,2026-09-08,09:40,60.6253,60.63,60.48,60.53,23019
MDLZ,2026-09-08,09:41,60.52,60.6,60.515,60.545,21185
MDLZ,2026-09-08,09:42,60.52,60.61,60.465,60.61,25454
MDLZ,2026-09-08,09:43,60.61,60.71,60.55,60.71,6235
MDLZ,2026-09-08,09:44,60.72,60.745,60.64,60.68,26700
MDLZ,2026-09-08,09:45,60.68,60.82,60.68,60.8,25788
MDLZ,2026-09-08,09:46,60.81,60.82,60.77,60.79,32290
MDLZ,2026-09-08,09:47,60.785,60.785,60.72,60.74,14644
MDLZ,2026-09-08,09:48,60.74,60.75,60.67,60.745,27014
MDLZ,2026-09-08,09:49,60.73,60.74,60.67,60.74,23910
MDLZ,2026-09-08,09:50,60.7547,60.785,60.705,60.72,15394
MDLZ,2026-09-08,09:51,60.71,60.77,60.71,60.77,21717
MDLZ,2026-09-08,09:52,60.79,60.88,60.75,60.8466,17400
MDLZ,2026-09-08,09:53,60.86,60.885,60.67,60.805,92844
MDLZ,2026-09-08,09:54,60.8,60.805,60.715,60.73,15966
MDLZ,2026-09-08,09:55,60.72,60.77,60.705,60.75,9253
MDLZ,2026-09-08,09:56,60.785,60.88,60.785,60.83,59592
MDLZ,2026-09-08,09:57,60.84,60.865,60.82,60.865,2394
MDLZ,2026-09-08,09:58,60.87,60.88,60.82,60.82,11900
MDLZ,2026-09-08,09:59,60.835,60.835,60.77,60.82,7081
MDLZ,2026-09-08,10:00,60.88,60.95,60.85,60.885,29797
MDLZ,2026-09-08,10:01,60.9,60.9,60.865,60.87,5096
MDLZ,2026-09-08,10:02,60.9,60.99,60.9,60.93,49039
MDLZ,2026-09-08,10:03,60.92,60.9401,60.83,60.85,13502
MDLZ,2026-09-08,10:04,60.84,60.92,60.84,60.915,5676
MDLZ,2026-09-08,10:05,60.93,60.95,60.91,60.92,10439
MDLZ,2026-09-08,10:06,60.925,60.935,60.85,60.9,25819
MDLZ,2026-09-08,10:07,60.875,60.915,60.83,60.8732,17534
MDLZ,2026-09-08,10:08,60.89,60.89,60.84,60.87,6665
MDLZ,2026-09-08,10:09,60.855,60.93,60.855,60.91,21765
MDLZ,2026-09-08,10:10,60.9,60.98,60.8701,60.935,45923
MDLZ,2026-09-08,10:11,60.93,60.95,60.91,60.91,10013
MDLZ,2026-09-08,10:12,60.93,60.98,60.92,60.98,9239
MDLZ,2026-09-08,10:13,60.96,60.96,60.86,60.9099,11312
MDLZ,2026-09-08,10:14,60.88,60.88,60.78,60.78,102576
MDLZ,2026-09-08,10:15,60.775,60.83,60.76,60.82,17051
MDLZ,2026-09-08,10:16,60.825,60.84,60.77,60.77,37902
MDLZ,2026-09-08,10:17,60.755,60.76,60.7,60.71,19541
MDLZ,2026-09-08,10:18,60.71,60.715,60.66,60.675,30231
