symbol,date,time,open,high,low,close,volume
MU,2026-09-08,09:30,1036.835,1041.0699,1032.7,1034.2,2549012
MU,2026-09-08,09:31,1034.3225,1038.725,1027.51,1028.8149,322725
MU,2026-09-08,09:32,1028.27,1028.3552,1016.03,1020.305,360818
MU,2026-09-08,09:33,1020.57,1023,1018.15,1020.97,283749
MU,2026-09-08,09:34,1021.08,1022,1016.55,1021.2799,233617
MU,2026-09-08,09:35,1020.8,1022.9205,1018.49,1020.425,201299
MU,2026-09-08,09:36,1020.425,1029.87,1019.24,1028.9301,243976
MU,2026-09-08,09:37,1028.96,1028.96,1023,1026.47,167892
MU,2026-09-08,09:38,1026.475,1029.37,1024.38,1028.948,118244
MU,2026-09-08,09:39,1029.2491,1031,1027.6,1029,139017
MU,2026-09-08,09:40,1029.212,1029.85,1023.62,1024.59,185348
MU,2026-09-08,09:41,1024.585,1027.3199,1024.09,1024.5,116582
MU,2026-09-08,09:42,1024.6,1024.61,1015.3,1015.4338,242815
MU,2026-09-08,09:43,1015.3,1020.195,1015.2201,1016.6101,132622
MU,2026-09-08,09:44,1017.0099,1017.195,1009.1601,1009.9401,249574
MU,2026-09-08,09:45,1010.305,1017.82,1010.07,1017.55,209296
MU,2026-09-08,09:46,1017.585,1019.74,1016.955,1018.472,158114
MU,2026-09-08,09:47,1018.295,1021.5563,1018,1019.79,141106
MU,2026-09-08,09:48,1019.91,1022.5799,1018.72,1022.275,167745
MU,2026-09-08,09:49,1022.395,1022.58,1019.72,1021.1005,113556
MU,2026-09-08,09:50,1021.36,1021.63,1018.5,1019.96,103275
MU,2026-09-08,09:51,1020.29,1020.4375,1016.5,1018.715,87034
MU,2026-09-08,09:52,1019.2059,1019.55,1015.4,1017.77,102763
MU,2026-09-08,09:53,1017.3501,1020.33,1016,1018.73,96165
MU,2026-09-08,09:54,1018.73,1020.195,1017.66,1019.44,111959
MU,2026-09-08,09:55,1019.53,1022.04,1017,1021.51,121621
MU,2026-09-08,09:56,1021.949,1022.68,1020.3,1022.68,110171
MU,2026-09-08,09:57,1022.85,1026.035,1022.1101,1024.92,178852
MU,2026-09-08,09:58,1025.395,1028.395,1023,1025.3102,169052
MU,2026-09-08,09:59,1025.0601,1025.3199,1021.5,1022.51,81733
MU,2026-09-08,10:00,1022.82,1023.35,1019.43,1019.865,108637
MU,2026-09-08,10:01,1019.5,1020.7199,1017.59,1018.945,109697
MU,2026-09-08,10:02,1018.72,1019.585,1016.3,1019.57,103759
MU,2026-09-08,10:03,1019.29,1024.15,1018,1022.41,115682
MU,2026-09-08,10:04,1022.8,1022.9494,1019.75,1020.25,73814
MU,2026-09-08,10:05,1020.01,1021,1018.2301,1019.57,79635
MU,2026-09-08,10:06,1019.845,1021.93,1018.77,1020.91,62761
MU,2026-09-08,10:07,1020.91,1021.8782,1019.4207,1019.625,55498
MU,2026-09-08,10:08,1019.25,1020.41,1016.5,1017,87794
MU,2026-09-08,10:09,1016.75,1019.28,1016.12,1017.205,71500
MU,2026-09-08,10:10,1017,1018.2,1015.55,1016.835,87564
MU,2026-09-08,10:11,1016.785,1017.7865,1015.41,1016.9156,89362
MU,2026-09-08,10:12,1017,1019,1016.6354,1018.715,81069
MU,2026-09-08,10:13,1018.88,1019,1016.2431,1016.4101,72369
MU,2026-09-08,10:14,1017.12,1018.59,1017,1017.86,50598
MU,2026-09-08,10:15,1017.9859,1019.1,1017.2,1017.49,56389
MU,2026-09-08,10:16,1017.49,1019.97,1016.86,1019.44,68305
MU,2026-09-08,10:17,1019.4436,1019.8772,1017.2,1018.26,56097
MU,2026-09-08,10:18,1018.04,1018.4,1014.78,1015.33,126574
MU,2026-09-08,10:19,1015.34,1015.9999,1013.68,1014.05,84335
MU,2026-09-08,10:20,1014.1528,1017,1013.81,1016.91,80314
MU,2026-09-08,10:21,1016.91,1019,1016.91,1018.65,94320
MU,2026-09-08,10:22,1018.585,1019.17,1016.9,1018.36,58511
MU,2026-09-08,10:23,1018.2792,1018.2792,1013,1015.6609,122686
MU,2026-09-08,10:24,1015.815,1018,1015.815,1017.76,44948
MU,2026-09-08,10:25,1017.52,1017.96,1015.37,1015.9576,44054
MU,2026-09-08,10:26,1016.75,1017.4899,1013.9,1015.28,54848
MU,2026-09-08,10:27,1015.115,1018,1014.61,1018,65284
MU,2026-09-08,10:28,1017.52,1020.98,1017.52,1019.43,114095
MU,2026-09-08,10:29,1019.46,1021.51,1019.3,1020.99,65961
MU,2026-09-08,10:30,1020.6202,1020.9799,1016.54,1017.165,81103
MU,2026-09-08,10:31,1017.175,1020.5,1016.6,1020.4999,53937
MU,2026-09-08,10:32,1020.495,1021,1018.63,1021,64517
MU,2026-09-08,10:33,1020.68,1021,1018.5,1019.15,63378
MU,2026-09-08,10:34,1019.19,1020.33,1018.47,1019.785,38811
MU,2026-09-08,10:35,1020.1325,1020.18,1018.23,1018.9356,39089
MU,2026-09-08,10:36,1018.5,1018.9499,1015.37,1015.575,80002
MU,2026-09-08,10:37,1015.575,1015.83,1014.5,1015.24,60039
MU,2026-09-08,10:38,1015.535,1016.91,1015,1016.68,50793
MU,2026-09-08,10:39,1016.68,1016.7603,1015.15,1016,30864
MU,2026-09-08,10:40,1015.75,1017.49,1015.26,1016.27,50406
MU,2026-09-08,10:41,1016.22,1018.28,1015.8501,1017.92,56042
MU,2026-09-08,10:42,1018.11,1020.5999,1017.6601,1020.5999,108599
MU,2026-09-08,10:43,1020.547,1020.78,1018.76,1019.06,59503
MU,2026-09-08,10:44,1019.04,1022.4286,1019.04,1020.52,83689
MU,2026-09-08,10:45,1020.54,1021.7693,1019.25,1020.0399,72194
MU,2026-09-08,10:46,1019.74,1020.47,1017.04,1017.2001,59668
MU,2026-09-08,10:47,1017.6771,1018.87,1016.74,1016.745,63743
MU,2026-09-08,10:48,1016.82,1018.5,1016.67,1018.24,33209
MU,2026-09-08,10:49,1018.34,1018.99,1016.665,1017.28,43527
MU,2026-09-08,10:50,1017.5,1018,1016.5701,1017.795,40228
MU,2026-09-08,10:51,1017.875,1018.8025,1017.6,1017.89,41572
MU,2026-09-08,10:52,1017.89,1018.825,1016.31,1018.5342,76425
MU,2026-09-08,10:53,1018.635,1018.82,1017.17,1017.98,44584
MU,2026-09-08,10:54,1017.98,1018.85,1017.4,1017.56,29386
MU,2026-09-08,10:55,1017.65,1018.1149,1015.99,1017.005,73204
MU,2026-09-08,10:56,1016.81,1017.93,1016.5,1016.945,34782
MU,2026-09-08,10:57,1016.945,1017.05,1014.8,1015.3675,88449
MU,2026-09-08,10:58,1015.47,1016.295,1015,1016.295,59188
MU,2026-09-08,10:59,1016.25,1017,1015.77,1016.29,40794
MU,2026-09-08,11:00,1016.6,1017.46,1015.6201,1016.75,44391
MU,2026-09-08,11:01,1016.58,1016.78,1014.77,1015.961,57112
MU,2026-09-08,11:02,1015.705,1016.8,1015,1015.76,35670
MU,2026-09-08,11:03,1015.63,1016.12,1014.4304,1014.4304,44566
MU,2026-09-08,11:04,1014.51,1016.7,1014.09,1016.37,60083
MU,2026-09-08,11:05,1016.5199,1017.2199,1015.39,1016.5,48896
MU,2026-09-08,11:06,1016.34,1017.25,1016.34,1016.825,36540
MU,2026-09-08,11:07,1016.86,1017.38,1016.66,1017.3599,31263
MU,2026-09-08,11:08,1017.34,1017.66,1016.43,1016.59,38743
MU,2026-09-08,11:09,1016.59,1016.95,1015.4101,1016.88,41589
MU,2026-09-08,11:10,1016.835,1018.51,1016.69,1018.27,64314
MU,2026-09-08,11:11,1018.3184,1019.43,1018.1257,1019.19,66262
MU,2026-09-08,11:12,1019.2,1019.3717,1018.0115,1019.075,40128
MU,2026-09-08,11:13,1018.965,1020.7499,1018.81,1020.38,84076
MU,2026-09-08,11:14,1020.51,1023,1020.275,1022.68,100807
MU,2026-09-08,11:15,1022.8263,1023.305,1021.2001,1022.33,79943
MU,2026-09-08,11:16,1022.3901,1023.89,1021.72,1023.05,118900
MU,2026-09-08,11:17,1023.045,1024.0699,1022.48,1024.0699,60082
MU,2026-09-08,11:18,1024.035,1026.23,1023.43,1026.14,134327
MU,2026-09-08,11:19,1026.13,1027.15,1025.6899,1026.6801,97364
MU,2026-09-08,11:20,1026.71,1026.8499,1025.79,1026.38,106157
MU,2026-09-08,11:21,1026.36,1026.47,1023.28,1023.635,71820
MU,2026-09-08,11:22,1023.66,1023.815,1022.08,1022.38,89006
MU,2026-09-08,11:23,1022.255,1023.88,1021.68,1022.9,59174
MU,2026-09-08,11:24,1022.8,1023.69,1022.18,1022.3899,41131
MU,2026-09-08,11:25,1022.36,1022.48,1019.4,1020.385,78696
MU,2026-09-08,11:26,1020.39,1020.5999,1015.62,1015.8864,117511
MU,2026-09-08,11:27,1016.04,1017.5499,1015.1822,1015.9296,76046
MU,2026-09-08,11:28,1015.58,1016.92,1015.22,1016.185,49359
MU,2026-09-08,11:29,1016.37,1017.48,1015.7,1017.02,53915
MU,2026-09-08,11:30,1016.52,1018.52,1016.5,1018.42,70360
MU,2026-09-08,11:31,1018.3385,1019.27,1018,1018.65,49459
MU,2026-09-08,11:32,1018.85,1019.25,1018.1564,1019.21,36971
MU,2026-09-08,11:33,1019.145,1019.42,1018.93,1019.1,28926
MU,2026-09-08,11:34,1019.07,1020.2299,1018.8901,1020.015,44113
MU,2026-09-08,11:35,1019.8001,1020.2,1019,1019.59,39705
MU,2026-09-08,11:36,1019.59,1020.72,1019.59,1020.42,52900
MU,2026-09-08,11:37,1020.4,1020.58,1019.59,1019.81,24150
MU,2026-09-08,11:38,1019.65,1020.46,1019.59,1020.315,21101
MU,2026-09-08,11:39,1020.16,1020.72,1020.16,1020.6,21313
MU,2026-09-08,11:40,1020.66,1020.8,1020.1606,1020.64,31141
MU,2026-09-08,11:41,1020.63,1022.49,1020.55,1022.28,50164
MU,2026-09-08,11:42,1022.17,1023.04,1021.8593,1022.9923,53354
MU,2026-09-08,11:43,1022.89,1024.71,1022.8,1024.105,55004
MU,2026-09-08,11:44,1024.105,1025.55,1024,1025.55,60075
MU,2026-09-08,11:45,1025.538,1025.66,1024.36,1024.5529,51213
MU,2026-09-08,11:46,1024.49,1026.7495,1024.49,1026.605,88495
MU,2026-09-08,11:47,1026.6,1026.7411,1025.3101,1025.41,75058
MU,2026-09-08,11:48,1025.2301,1026.5499,1024.83,1025.27,38026
MU,2026-09-08,11:49,1025.27,1026.075,1024.6801,1025.04,42718
MU,2026-09-08,11:50,1025.3199,1026.6576,1025,1026.5,50393
MU,2026-09-08,11:51,1026.39,1026.83,1025.4,1025.67,57145
MU,2026-09-08,11:52,1025.625,1026.824,1025.1899,1026.355,40025
MU,2026-09-08,11:53,1026.55,1027.83,1026.12,1027.67,65392
MU,2026-09-08,11:54,1027.6949,1027.8,1026.72,1027.71,44862
MU,2026-09-08,11:55,1027.71,1027.8177,1026.1414,1026.8199,38071
MU,2026-09-08,11:56,1026.75,1027,1025.1173,1025.2551,44131
MU,2026-09-08,11:57,1025.3774,1025.9099,1025.0793,1025.375,26448
MU,2026-09-08,11:58,1025.6,1025.625,1023.155,1023.3568,52548
MU,2026-09-08,11:59,1023.25,1024.4399,1023.235,1024.3199,30449
MU,2026-09-08,12:00,1024.6191,1025.61,1024.17,1025.53,32700
MU,2026-09-08,12:01,1025.1624,1026.8899,1024.8,1026.8899,34622
MU,2026-09-08,12:02,1026.825,1026.825,1025.5406,1025.83,28469
MU,2026-09-08,12:03,1025.8301,1026.6,1025.54,1026.1001,27877
MU,2026-09-08,12:04,1026.192,1026.8099,1025.75,1026.39,23073
MU,2026-09-08,12:05,1026.36,1026.36,1024.5,1024.91,44700
MU,2026-09-08,12:06,1024.75,1025.9283,1024.62,1025.845,18599
MU,2026-09-08,12:07,1025.75,1026.54,1025.04,1025.9399,40751
