symbol,date,time,open,high,low,close,volume
SO,2026-09-08,09:30,88.16,88.39,88.1,88.37,245033
SO,2026-09-08,09:31,88.29,88.32,88.13,88.31,18739
SO,2026-09-08,09:32,88.38,88.485,88.23,88.485,13749
SO,2026-09-08,09:33,88.55,88.5665,88.46,88.5,6581
SO,2026-09-08,09:34,88.46,88.46,88.37,88.38,19228
SO,2026-09-08,09:35,88.39,88.57,88.34,88.541,8995
SO,2026-09-08,09:36,88.52,88.71,88.48,88.71,12167
SO,2026-09-08,09:37,88.66,88.67,88.55,88.57,5660
SO,2026-09-08,09:38,88.57,88.65,88.52,88.535,10297
SO,2026-09-08,09:39,88.545,88.545,88.45,88.455,8137
SO,2026-09-08,09:40,88.446,88.465,88.38,88.465,9257
SO,2026-09-08,09:41,88.45,88.49,88.395,88.47,26867
SO,2026-09-08,09:42,88.48,88.62,88.48,88.62,3880
SO,2026-09-08,09:43,88.625,88.625,88.49,88.575,4312
SO,2026-09-08,09:44,88.6,88.71,88.58,88.6875,4155
SO,2026-09-08,09:45,88.685,88.69,88.55,88.61,5291
SO,2026-09-08,09:46,88.61,88.63,88.57,88.58,7227
SO,2026-09-08,09:47,88.55,88.59,88.55,88.57,4638
SO,2026-09-08,09:48,88.55,88.55,88.47,88.535,8862
SO,2026-09-08,09:49,88.51,88.52,88.39,88.39,17569
SO,2026-09-08,09:50,88.41,88.5,88.41,88.495,13022
SO,2026-09-08,09:51,88.5,88.56,88.49,88.51,7305
SO,2026-09-08,09:52,88.51,88.63,88.49,88.6,14054
SO,2026-09-08,09:53,88.6,88.62,88.55,88.595,6545
SO,2026-09-08,09:54,88.59,88.6,88.49,88.55,10101
SO,2026-09-08,09:55,88.55,88.59,88.53,88.58,5797
SO,2026-09-08,09:56,88.6,88.61,88.555,88.605,8998
SO,2026-09-08,09:57,88.6,88.63,88.58,88.58,11958
SO,2026-09-08,09:58,88.6,88.6,88.56,88.57,7523
SO,2026-09-08,09:59,88.56,88.585,88.53,88.555,46115
SO,2026-09-08,10:00,88.555,88.65,88.555,88.58,29126
SO,2026-09-08,10:01,88.57,88.58,88.51,88.51,13712
SO,2026-09-08,10:02,88.51,88.67,88.5002,88.67,10168
SO,2026-09-08,10:03,88.65,88.7108,88.63,88.67,23790
SO,2026-09-08,10:04,88.65,88.745,88.64,88.74,8647
SO,2026-09-08,10:05,88.7399,88.8,88.735,88.76,18499
SO,2026-09-08,10:06,88.76,88.86,88.74,88.85,11018
SO,2026-09-08,10:07,88.85,88.88,88.815,88.83,15241
SO,2026-09-08,10:08,88.83,88.8672,88.815,88.8672,7069
SO,2026-09-08,10:09,88.85,88.92,88.85,88.915,22325
SO,2026-09-08,10:10,88.905,88.93,88.88,88.92,16109
SO,2026-09-08,10:11,88.92,89.025,88.92,89.01,29637
SO,2026-09-08,10:12,89,89,88.935,88.95,15553
SO,2026-09-08,10:13,88.93,88.94,88.9,88.92,9743
SO,2026-09-08,10:14,88.87,88.89,88.825,88.86,12713
SO,2026-09-08,10:15,88.87,88.89,88.8553,88.875,7150
SO,2026-09-08,10:16,88.86,88.93,88.84,88.91,9064
SO,2026-09-08,10:17,88.89,88.91,88.84,88.9,27540
SO,2026-09-08,10:18,88.91,88.91,88.83,88.83,6899
SO,2026-09-08,10:19,88.84,88.88,88.82,88.8725,11535
SO,2026-09-08,10:20,88.86,88.88,88.77,88.77,9388
SO,2026-09-08,10:21,88.77,88.83,88.77,88.805,7622
SO,2026-09-08,10:22,88.805,88.86,88.78,88.86,6492
SO,2026-09-08,10:23,88.87,88.945,88.85,88.93,13500
SO,2026-09-08,10:24,88.92,88.95,88.91,88.93,10960
SO,2026-09-08,10:25,88.96,88.99,88.93,88.95,14406
SO,2026-09-08,10:26,88.955,89.035,88.955,89.02,5500
SO,2026-09-08,10:27,89.03,89.05,89.0201,89.04,4249
SO,2026-09-08,10:28,89.02,89.06,89.01,89.04,10454
SO,2026-09-08,10:29,89.03,89.04,88.99,89.035,8748
SO,2026-09-08,10:30,89.04,89.065,89.03,89.03,5030
SO,2026-09-08,10:31,89.03,89.04,89,89.03,7180
SO,2026-09-08,10:32,89.05,89.09,89.04,89.085,5101
SO,2026-09-08,10:33,89.07,89.08,89.03,89.06,8284
SO,2026-09-08,10:34,89.05,89.06,89.03,89.05,5347
SO,2026-09-08,10:35,89.02,89.06,88.995,89.06,16373
SO,2026-09-08,10:36,89.08,89.13,89.075,89.13,9090
SO,2026-09-08,10:37,89.1251,89.18,89.1251,89.16,7807
SO,2026-09-08,10:38,89.18,89.19,89.17,89.185,3237
SO,2026-09-08,10:39,89.185,89.185,89.125,89.145,28081
SO,2026-09-08,10:40,89.14,89.155,89.11,89.155,28261
SO,2026-09-08,10:41,89.16,89.185,89.15,89.185,3135
SO,2026-09-08,10:42,89.18,89.19,89.12,89.135,5883
SO,2026-09-08,10:43,89.135,89.2,89.13,89.175,4874
SO,2026-09-08,10:44,89.175,89.18,89.17,89.17,3494
SO,2026-09-08,10:45,89.175,89.205,89.165,89.19,4376
SO,2026-09-08,10:46,89.205,89.205,89.15,89.15,5901
SO,2026-09-08,10:47,89.155,89.2,89.155,89.1901,5118
SO,2026-09-08,10:48,89.2,89.205,89.13,89.145,7087
SO,2026-09-08,10:49,89.13,89.175,89.125,89.175,2899
SO,2026-09-08,10:50,89.165,89.23,89.165,89.2187,3739
SO,2026-09-08,10:51,89.215,89.245,89.215,89.23,5210
SO,2026-09-08,10:52,89.22,89.24,89.21,89.21,4762
SO,2026-09-08,10:53,89.215,89.23,89.18,89.18,5379
SO,2026-09-08,10:54,89.18,89.18,89.13,89.15,8738
SO,2026-09-08,10:55,89.13,89.13,89.06,89.08,5775
SO,2026-09-08,10:56,89.06,89.095,89.055,89.065,7662
SO,2026-09-08,10:57,89.06,89.07,89.03,89.07,4845
SO,2026-09-08,10:58,89.07,89.09,89.04,89.04,2891
SO,2026-09-08,10:59,89.07,89.07,88.98,88.99,6849
SO,2026-09-08,11:00,88.99,88.99,88.9,88.935,11524
SO,2026-09-08,11:01,88.915,88.92,88.87,88.87,4549
