symbol,date,time,open,high,low,close,volume
AMZN,2026-08-26,09:30,261.275,262.05,260.55,260.72,733082
AMZN,2026-08-26,09:31,260.6,260.8023,260.1,260.785,70017
AMZN,2026-08-26,09:32,260.795,261.41,260.23,260.3726,90232
AMZN,2026-08-26,09:33,260.25,260.88,259.87,260.3,106521
AMZN,2026-08-26,09:34,260.315,260.71,260.3,260.51,51208
AMZN,2026-08-26,09:35,260.45,260.85,260.26,260.6,73602
AMZN,2026-08-26,09:36,260.5965,260.65,260.38,260.4,56017
AMZN,2026-08-26,09:37,260.39,260.51,260,260.2,58645
AMZN,2026-08-26,09:38,260.15,260.3,259.7,259.76,88626
AMZN,2026-08-26,09:39,259.73,259.9839,259.46,259.505,136556
AMZN,2026-08-26,09:40,259.51,259.7,259.375,259.62,111722
AMZN,2026-08-26,09:41,259.615,259.8478,259.52,259.72,61892
AMZN,2026-08-26,09:42,259.72,259.805,259.59,259.765,38011
AMZN,2026-08-26,09:43,259.765,260.3,259.765,260.1308,139423
AMZN,2026-08-26,09:44,260.145,260.86,260.12,260.79,161860
AMZN,2026-08-26,09:45,260.79,260.93,260.685,260.8251,76227
AMZN,2026-08-26,09:46,260.835,260.835,260.55,260.55,81191
AMZN,2026-08-26,09:47,260.56,260.65,260.4,260.65,47109
AMZN,2026-08-26,09:48,260.6201,260.72,260.39,260.51,75625
AMZN,2026-08-26,09:49,260.51,260.57,260.23,260.45,42318
AMZN,2026-08-26,09:50,260.51,260.68,260.46,260.51,48620
AMZN,2026-08-26,09:51,260.53,260.58,260.2,260.245,34605
AMZN,2026-08-26,09:52,260.245,260.84,260.2001,260.46,86115
AMZN,2026-08-26,09:53,260.445,260.52,260.27,260.4641,33968
AMZN,2026-08-26,09:54,260.45,260.8599,260.3643,260.77,33494
AMZN,2026-08-26,09:55,260.77,260.98,260.72,260.895,43563
AMZN,2026-08-26,09:56,260.89,260.95,260.63,260.808,35840
AMZN,2026-08-26,09:57,260.765,260.8165,260.5501,260.6999,25274
AMZN,2026-08-26,09:58,260.6999,260.77,260.6,260.74,34926
AMZN,2026-08-26,09:59,260.705,260.9,260.58,260.895,39030
AMZN,2026-08-26,10:00,260.845,261.0299,260.74,260.805,83552
AMZN,2026-08-26,10:01,260.77,261.04,260.77,261,49830
AMZN,2026-08-26,10:02,261,261.07,260.875,260.93,43181
AMZN,2026-08-26,10:03,260.9216,261.14,260.895,261.1,43801
AMZN,2026-08-26,10:04,261.06,261.22,260.94,260.995,44995
AMZN,2026-08-26,10:05,260.98,261.01,260.7601,260.81,55531
AMZN,2026-08-26,10:06,260.79,261.15,260.79,261.15,36530
AMZN,2026-08-26,10:07,261.15,261.15,260.99,261.0212,25855
AMZN,2026-08-26,10:08,261.03,261.09,260.98,261.005,46488
AMZN,2026-08-26,10:09,261,261.04,260.9101,260.94,31587
AMZN,2026-08-26,10:10,260.96,261,260.83,260.89,25890
AMZN,2026-08-26,10:11,260.89,261.0799,260.8509,260.925,47636
AMZN,2026-08-26,10:12,260.92,260.92,260.4,260.43,46200
AMZN,2026-08-26,10:13,260.435,260.47,260.25,260.26,51976
AMZN,2026-08-26,10:14,260.29,260.3814,260.25,260.27,25053
AMZN,2026-08-26,10:15,260.27,260.37,260.21,260.2905,31173
AMZN,2026-08-26,10:16,260.2651,260.35,260.05,260.1,44710
AMZN,2026-08-26,10:17,260.0301,260.2,260.0301,260.16,39172
AMZN,2026-08-26,10:18,260.13,260.3,260.13,260.205,46248
AMZN,2026-08-26,10:19,260.195,260.28,260.12,260.175,39646
AMZN,2026-08-26,10:20,260.17,260.34,260.085,260.23,78017
AMZN,2026-08-26,10:21,260.19,260.2,260.01,260.055,50249
AMZN,2026-08-26,10:22,260.045,260.3099,259.88,259.88,78682
AMZN,2026-08-26,10:23,259.9,260.05,259.83,259.99,34642
AMZN,2026-08-26,10:24,259.97,260.0106,259.825,259.88,30772
AMZN,2026-08-26,10:25,259.86,259.97,259.64,259.74,71429
AMZN,2026-08-26,10:26,259.715,259.7151,259.2,259.225,135075
AMZN,2026-08-26,10:27,259.2116,259.2116,259.06,259.095,77920
AMZN,2026-08-26,10:28,259.11,259.15,258.88,259.005,99964
AMZN,2026-08-26,10:29,259.01,259.14,258.96,259.06,66900
AMZN,2026-08-26,10:30,259.06,259.2135,258.97,259.0805,84415
AMZN,2026-08-26,10:31,259.09,259.1968,258.9,258.9284,119717
AMZN,2026-08-26,10:32,258.93,259.0357,258.78,259,78001
AMZN,2026-08-26,10:33,258.96,259.0799,258.895,258.9601,73524
AMZN,2026-08-26,10:34,258.975,259.145,258.935,259.09,49150
AMZN,2026-08-26,10:35,259.06,259.1799,259,259.13,44674
AMZN,2026-08-26,10:36,259.1,259.35,259.07,259.325,52186
AMZN,2026-08-26,10:37,259.32,259.635,259.312,259.635,53768
AMZN,2026-08-26,10:38,259.635,259.7099,259.4,259.42,58720
AMZN,2026-08-26,10:39,259.4127,259.46,259.3067,259.34,35538
AMZN,2026-08-26,10:40,259.35,259.57,259.3304,259.57,29353
AMZN,2026-08-26,10:41,259.57,259.575,259.51,259.51,22386
AMZN,2026-08-26,10:42,259.53,259.53,259.26,259.285,26604
AMZN,2026-08-26,10:43,259.26,259.35,259.225,259.295,32216
AMZN,2026-08-26,10:44,259.28,259.3899,259.27,259.36,25041
AMZN,2026-08-26,10:45,259.35,259.4199,259.2101,259.27,22750
AMZN,2026-08-26,10:46,259.29,259.48,259.28,259.44,30810
AMZN,2026-08-26,10:47,259.445,259.56,259.445,259.49,24645
AMZN,2026-08-26,10:48,259.5,259.6765,259.41,259.6765,31450
AMZN,2026-08-26,10:49,259.66,259.69,259.5875,259.66,48069
AMZN,2026-08-26,10:50,259.66,259.8,259.61,259.7898,39458
AMZN,2026-08-26,10:51,259.76,259.9752,259.65,259.965,34750
AMZN,2026-08-26,10:52,259.965,260.23,259.965,260.16,88273
AMZN,2026-08-26,10:53,260.14,260.18,259.9201,260.085,39267
AMZN,2026-08-26,10:54,260.065,260.065,259.8593,259.91,23912
AMZN,2026-08-26,10:55,259.93,259.95,259.83,259.875,13737
AMZN,2026-08-26,10:56,259.9,260.3,259.9,260.24,26300
AMZN,2026-08-26,10:57,260.265,260.4696,260.2569,260.345,42788
AMZN,2026-08-26,10:58,260.38,260.4921,260.34,260.47,29327
AMZN,2026-08-26,10:59,260.465,260.465,260.23,260.295,25591
AMZN,2026-08-26,11:00,260.32,260.39,260.23,260.23,32675
AMZN,2026-08-26,11:01,260.245,260.28,260.15,260.18,36354
AMZN,2026-08-26,11:02,260.195,260.34,260.14,260.3,19152
AMZN,2026-08-26,11:03,260.33,260.45,260.27,260.45,24954
AMZN,2026-08-26,11:04,260.425,260.45,260.25,260.3,36745
AMZN,2026-08-26,11:05,260.29,260.4,260.29,260.34,22387
AMZN,2026-08-26,11:06,260.345,260.38,260.26,260.2832,22232
AMZN,2026-08-26,11:07,260.27,260.325,260.16,260.195,21004
