symbol,date,time,open,high,low,close,volume
ANET,2026-08-28,09:30,200,200.1,198.51,199.225,82060
ANET,2026-08-28,09:31,198.5,198.68,196.64,196.64,19350
ANET,2026-08-28,09:32,196.64,197.2533,196.595,197.0952,6820
ANET,2026-08-28,09:33,197.165,197.73,197.13,197.43,6068
ANET,2026-08-28,09:34,197.21,197.46,196.75,197.19,33478
ANET,2026-08-28,09:35,197.18,197.69,196.54,196.975,8211
ANET,2026-08-28,09:36,196.52,198.09,196.52,198.09,11198
ANET,2026-08-28,09:37,198.12,198.7,198,198.45,7940
ANET,2026-08-28,09:38,198.26,198.615,198.175,198.44,3717
ANET,2026-08-28,09:39,198.28,198.66,198.27,198.59,3535
ANET,2026-08-28,09:40,198.5,198.89,198.465,198.84,11033
ANET,2026-08-28,09:41,198.88,198.92,198.535,198.535,10660
ANET,2026-08-28,09:42,198.69,199.15,198.5966,199.15,16386
ANET,2026-08-28,09:43,199.155,199.29,198.8,198.8,7975
ANET,2026-08-28,09:44,198.98,199.07,198.49,198.5,10526
ANET,2026-08-28,09:45,198.5,198.51,197.7001,198.305,9338
ANET,2026-08-28,09:46,198.3964,198.3964,197.54,197.68,9702
ANET,2026-08-28,09:47,197.725,198.44,197.725,198.42,8145
ANET,2026-08-28,09:48,198.44,198.61,198.305,198.32,5002
ANET,2026-08-28,09:49,198.315,198.52,197.62,197.7,8125
ANET,2026-08-28,09:50,197.67,198.09,197.67,197.84,4436
ANET,2026-08-28,09:51,197.75,197.77,197.43,197.51,10942
ANET,2026-08-28,09:52,197.21,197.55,196.56,196.56,8919
ANET,2026-08-28,09:53,196.52,197.22,196.23,197.22,16112
ANET,2026-08-28,09:54,197.42,197.42,197.03,197.26,6496
ANET,2026-08-28,09:55,197.26,197.39,197.01,197.39,5187
ANET,2026-08-28,09:56,197.225,197.59,197.22,197.59,7320
ANET,2026-08-28,09:57,197.595,197.79,197.32,197.545,10840
ANET,2026-08-28,09:58,197.52,197.56,197.48,197.56,3142
ANET,2026-08-28,09:59,197.59,197.9086,197.21,197.31,9875
ANET,2026-08-28,10:00,197.17,198.16,197.17,197.7,9361
ANET,2026-08-28,10:01,197.71,197.7225,197.17,197.38,6103
ANET,2026-08-28,10:02,197.38,197.51,197.17,197.17,5131
ANET,2026-08-28,10:03,197.2,197.205,196.57,196.57,7382
ANET,2026-08-28,10:04,196.07,196.85,196.07,196.8,36467
ANET,2026-08-28,10:05,196.63,197.085,196.5,196.5,10418
ANET,2026-08-28,10:06,196.46,196.57,196.18,196.5129,16110
ANET,2026-08-28,10:07,196.6,196.6,196.0601,196.35,4897
ANET,2026-08-28,10:08,196.345,196.57,196.01,196.57,7379
ANET,2026-08-28,10:09,196.56,196.58,196.31,196.31,6744
ANET,2026-08-28,10:10,196.1508,196.84,196.15,196.565,12727
ANET,2026-08-28,10:11,196.565,196.61,196.35,196.61,4001
ANET,2026-08-28,10:12,196.67,196.67,196.13,196.29,8711
ANET,2026-08-28,10:13,196.15,196.32,195.7017,196.2199,14757
ANET,2026-08-28,10:14,196.07,196.45,196.03,196.42,10221
ANET,2026-08-28,10:15,196.47,196.8299,196.26,196.2901,8933
ANET,2026-08-28,10:16,196.57,197,196.51,197,13979
ANET,2026-08-28,10:17,196.855,196.8835,196.46,196.705,4867
ANET,2026-08-28,10:18,196.91,196.91,196.47,196.47,6799
ANET,2026-08-28,10:19,196.48,196.78,196.46,196.46,4375
ANET,2026-08-28,10:20,196.67,196.81,196.67,196.8,2858
ANET,2026-08-28,10:21,196.8,197.2,196.8,196.99,5527
ANET,2026-08-28,10:22,197.03,197.17,196.8,197,8123
ANET,2026-08-28,10:23,197.165,197.165,196.906,196.945,2895
ANET,2026-08-28,10:24,196.78,197.16,196.78,197.16,4655
ANET,2026-08-28,10:25,197.16,197.265,196.83,197.065,3862
ANET,2026-08-28,10:26,197.01,197.23,196.75,197.23,3292
ANET,2026-08-28,10:27,197.065,197.065,196.9415,196.955,1855
ANET,2026-08-28,10:28,196.855,197.0654,196.85,197.0654,2708
ANET,2026-08-28,10:29,196.96,197.045,196.88,196.915,8625
ANET,2026-08-28,10:30,196.99,196.99,196.5701,196.8,4057
ANET,2026-08-28,10:31,196.7771,196.7771,196.44,196.47,5990
ANET,2026-08-28,10:32,196.3,196.67,196.3,196.52,5947
ANET,2026-08-28,10:33,196.515,196.6899,196.51,196.615,3192
ANET,2026-08-28,10:34,196.62,197.2,196.62,197.13,11631
ANET,2026-08-28,10:35,197.065,197.14,196.76,196.76,5414
ANET,2026-08-28,10:36,196.95,196.97,196.74,196.79,2909
ANET,2026-08-28,10:37,196.935,197.2,196.855,197.04,6815
ANET,2026-08-28,10:38,197.045,197.3621,197.045,197.315,7529
ANET,2026-08-28,10:39,197.22,197.23,196.99,196.99,5358
ANET,2026-08-28,10:40,196.93,197.19,196.93,197.1899,3606
ANET,2026-08-28,10:41,197.19,197.19,197.03,197.065,11289
ANET,2026-08-28,10:42,197.21,197.5399,197.14,197.45,7180
ANET,2026-08-28,10:43,197.45,197.65,197.41,197.585,5361
ANET,2026-08-28,10:44,197.6701,198.275,197.61,198.18,20823
ANET,2026-08-28,10:45,198.295,198.39,198,198.08,8816
ANET,2026-08-28,10:46,198.0875,198.24,197.9625,198.225,13872
ANET,2026-08-28,10:47,198.29,198.57,198.225,198.47,5622
ANET,2026-08-28,10:48,198.47,198.605,198.33,198.42,11357
ANET,2026-08-28,10:49,198.33,198.57,198.2201,198.57,8345
ANET,2026-08-28,10:50,198.42,198.76,198.3501,198.665,10494
ANET,2026-08-28,10:51,198.72,198.85,198.23,198.3,31959
ANET,2026-08-28,10:52,198.39,198.39,197.96,197.96,5229
ANET,2026-08-28,10:53,197.955,197.955,197.85,197.9,3651
ANET,2026-08-28,10:54,197.895,198.07,197.895,197.96,6795
ANET,2026-08-28,10:55,197.94,197.945,197.78,197.87,2682
ANET,2026-08-28,10:56,197.995,198.12,197.995,198.02,2342
ANET,2026-08-28,10:57,198.02,198.02,197.875,197.9,3587
ANET,2026-08-28,10:58,197.9,198.02,197.771,198.02,4916
ANET,2026-08-28,10:59,197.97,198.3,197.79,198.295,13624
ANET,2026-08-28,11:00,198.3763,198.3763,198.14,198.245,3884
ANET,2026-08-28,11:01,198.245,198.39,198.065,198.065,7327
ANET,2026-08-28,11:02,198.07,198.205,198.065,198.205,7448
ANET,2026-08-28,11:03,198.205,198.3299,198.2,198.2,8171
ANET,2026-08-28,11:04,198.2292,198.2292,198.01,198.0951,7806
ANET,2026-08-28,11:05,198.085,198.17,198.07,198.155,16481
ANET,2026-08-28,11:06,198.21,198.4,198.19,198.19,5970
ANET,2026-08-28,11:07,198.15,198.18,198.0501,198.1,3364
ANET,2026-08-28,11:08,198.125,198.195,198.05,198.125,3717
ANET,2026-08-28,11:09,198.05,198.19,197.89,197.925,6392
ANET,2026-08-28,11:10,197.925,198.045,197.9101,198.01,4907
ANET,2026-08-28,11:11,198,198.04,197.83,197.945,4416
ANET,2026-08-28,11:12,197.945,198.075,197.8138,198.075,6907
ANET,2026-08-28,11:13,198.04,198.05,197.73,197.8,7096
ANET,2026-08-28,11:14,197.81,198.01,197.8,197.84,5573
ANET,2026-08-28,11:15,197.84,198.165,197.8,198.165,6034
ANET,2026-08-28,11:16,198.05,198.1699,198.05,198.085,3122
ANET,2026-08-28,11:17,198.085,198.1,198,198.01,4726
ANET,2026-08-28,11:18,198.01,198.08,197.83,197.97,4371
ANET,2026-08-28,11:19,197.92,198.1,197.82,198.0475,5767
ANET,2026-08-28,11:20,198.0896,198.09,198.005,198.09,2626
ANET,2026-08-28,11:21,198.04,198.04,197.79,197.79,4147
ANET,2026-08-28,11:22,197.79,197.98,197.6,197.675,8209
ANET,2026-08-28,11:23,197.675,197.87,197.65,197.865,9523
ANET,2026-08-28,11:24,197.825,197.95,197.825,197.835,2975
ANET,2026-08-28,11:25,197.85,198.06,197.83,198.05,4613
ANET,2026-08-28,11:26,197.99,198.0799,197.9,198.0799,3113
ANET,2026-08-28,11:27,197.9628,198.08,197.77,198.08,4818
ANET,2026-08-28,11:28,198.085,198.085,197.93,198.035,3063
ANET,2026-08-28,11:29,197.96,198.035,197.9,197.9,3660
ANET,2026-08-28,11:30,197.86,197.87,197.77,197.87,2787
ANET,2026-08-28,11:31,197.77,197.846,197.73,197.77,2495
ANET,2026-08-28,11:32,197.78,197.78,197.72,197.72,3972
ANET,2026-08-28,11:33,197.84,197.88,197.755,197.86,4333
ANET,2026-08-28,11:34,197.88,197.88,197.725,197.725,1535
ANET,2026-08-28,11:35,197.63,197.88,197.63,197.71,3431
ANET,2026-08-28,11:36,197.75,197.88,197.75,197.88,2416
ANET,2026-08-28,11:37,197.73,197.76,197.71,197.73,2918
ANET,2026-08-28,11:38,197.72,197.72,197.63,197.63,2746
ANET,2026-08-28,11:39,197.6,197.64,197.49,197.58,9806
ANET,2026-08-28,11:40,197.57,197.58,197.22,197.22,7127
ANET,2026-08-28,11:41,197.13,197.31,197.13,197.3,2674
ANET,2026-08-28,11:42,197.4,197.41,197.3,197.4,2369
ANET,2026-08-28,11:43,197.4,197.54,197.4,197.53,1740
ANET,2026-08-28,11:44,197.38,197.43,197.22,197.22,4428
ANET,2026-08-28,11:45,197.12,197.1999,197.02,197.1999,3272
ANET,2026-08-28,11:46,197.11,197.21,197,197.02,6412
ANET,2026-08-28,11:47,196.945,197.02,196.835,196.87,4234
ANET,2026-08-28,11:48,196.8,196.81,196.59,196.81,6576
ANET,2026-08-28,11:49,196.83,196.87,196.6001,196.81,3086
ANET,2026-08-28,11:50,196.785,196.785,196.71,196.74,2401
ANET,2026-08-28,11:51,196.68,196.68,196.54,196.54,2396
ANET,2026-08-28,11:52,196.54,196.54,196.3,196.3,5722
