symbol,date,time,open,high,low,close,volume
INTC,2026-08-28,09:30,90.27,90.79,89.97,90.741,3551061
INTC,2026-08-28,09:31,90.72,90.83,90.42,90.48,420548
INTC,2026-08-28,09:32,90.41,90.74,90.37,90.61,293175
INTC,2026-08-28,09:33,90.62,90.9299,90.5323,90.85,385494
INTC,2026-08-28,09:34,90.83,91.1862,90.72,91.1862,412496
INTC,2026-08-28,09:35,91.19,91.3,90.76,91.23,528576
INTC,2026-08-28,09:36,91.24,91.54,91.0001,91.45,370979
INTC,2026-08-28,09:37,91.445,91.73,91.41,91.48,418786
INTC,2026-08-28,09:38,91.49,91.78,91.3601,91.77,282861
INTC,2026-08-28,09:39,91.8,92.1531,91.6,92.1005,429404
INTC,2026-08-28,09:40,92.09,92.5595,92,92.55,494984
INTC,2026-08-28,09:41,92.56,92.6,91.9973,92.28,648851
INTC,2026-08-28,09:42,92.29,92.68,92.02,92.575,372870
INTC,2026-08-28,09:43,92.6,92.67,92.1122,92.18,325505
INTC,2026-08-28,09:44,92.21,92.5399,92.1,92.465,297954
INTC,2026-08-28,09:45,92.46,92.69,92.46,92.665,286718
INTC,2026-08-28,09:46,92.6486,92.83,92.54,92.7,510440
INTC,2026-08-28,09:47,92.71,92.86,92.59,92.815,328217
INTC,2026-08-28,09:48,92.815,93.1299,92.75,93.1044,508768
INTC,2026-08-28,09:49,93.11,93.17,92.75,92.88,773070
INTC,2026-08-28,09:50,92.89,93.06,92.7801,92.91,470579
INTC,2026-08-28,09:51,92.9,93.05,92.45,92.54,490083
INTC,2026-08-28,09:52,92.5473,92.86,92.4,92.6,360583
INTC,2026-08-28,09:53,92.625,92.9608,92.62,92.94,386169
INTC,2026-08-28,09:54,92.9328,93.17,92.7441,92.7963,579841
INTC,2026-08-28,09:55,92.785,92.87,92.65,92.77,368875
INTC,2026-08-28,09:56,92.77,93.04,92.76,93.0305,306060
INTC,2026-08-28,09:57,93.01,93.32,92.961,93.28,433715
INTC,2026-08-28,09:58,93.28,93.54,93.267,93.52,586542
INTC,2026-08-28,09:59,93.5132,93.7,93.08,93.11,512096
INTC,2026-08-28,10:00,93.13,93.5,92.92,93.4482,440244
INTC,2026-08-28,10:01,93.4594,93.515,92.88,92.92,382973
INTC,2026-08-28,10:02,92.9105,93.03,92.56,92.735,1024497
INTC,2026-08-28,10:03,92.735,92.76,92.31,92.31,257492
INTC,2026-08-28,10:04,92.3205,92.465,92.1601,92.4194,292591
INTC,2026-08-28,10:05,92.415,92.5,92.08,92.1022,288885
INTC,2026-08-28,10:06,92.1,92.18,91.7727,92.04,423198
INTC,2026-08-28,10:07,92,92.055,91.75,91.845,241131
INTC,2026-08-28,10:08,91.835,92.21,91.67,92.21,368167
INTC,2026-08-28,10:09,92.242,92.28,91.9806,91.995,331928
INTC,2026-08-28,10:10,92,92.14,91.78,91.785,266244
INTC,2026-08-28,10:11,91.785,91.8788,91.55,91.6882,280501
INTC,2026-08-28,10:12,91.69,91.71,91.31,91.5229,437325
INTC,2026-08-28,10:13,91.515,91.53,91.05,91.225,478133
INTC,2026-08-28,10:14,91.24,91.35,91.15,91.25,223993
INTC,2026-08-28,10:15,91.2761,91.45,91.22,91.37,211633
INTC,2026-08-28,10:16,91.39,91.5386,91.3,91.5,255356
INTC,2026-08-28,10:17,91.503,91.685,91.37,91.6226,284779
INTC,2026-08-28,10:18,91.624,91.75,91.51,91.535,242241
INTC,2026-08-28,10:19,91.53,91.84,91.53,91.68,211332
INTC,2026-08-28,10:20,91.7,91.855,91.61,91.61,182663
INTC,2026-08-28,10:21,91.6162,92.06,91.61,91.99,229138
INTC,2026-08-28,10:22,92,92.19,91.89,92.145,274682
INTC,2026-08-28,10:23,92.1407,92.1486,91.905,91.925,238761
INTC,2026-08-28,10:24,91.92,92,91.72,91.97,272485
INTC,2026-08-28,10:25,92.02,92.17,91.96,92,240774
INTC,2026-08-28,10:26,91.9699,92.02,91.71,91.9925,222736
INTC,2026-08-28,10:27,92.0049,92.0378,91.87,91.9401,144333
INTC,2026-08-28,10:28,91.96,92.05,91.9028,91.9474,144670
INTC,2026-08-28,10:29,91.935,92.11,91.8999,92.11,160397
INTC,2026-08-28,10:30,92.1,92.13,91.95,92.025,166587
INTC,2026-08-28,10:31,92.02,92.15,91.93,92.05,215598
INTC,2026-08-28,10:32,92.05,92.21,91.94,92.0531,197930
