symbol,date,time,open,high,low,close,volume
MSFT,2026-08-26,09:30,487.85,492.5053,487.31,492.09,3512000
MSFT,2026-08-26,09:31,492.1143,492.3532,490.7201,492.18,58503
MSFT,2026-08-26,09:32,492.18,492.7199,491.47,491.935,46309
MSFT,2026-08-26,09:33,491.865,493.69,491.865,492.595,92537
MSFT,2026-08-26,09:34,492.595,494.293,492.51,494.13,60634
MSFT,2026-08-26,09:35,494.095,494.6,492.75,492.91,88014
MSFT,2026-08-26,09:36,493.0051,493.3508,492.31,493.3508,54081
MSFT,2026-08-26,09:37,493.325,493.75,493.1,493.65,37586
MSFT,2026-08-26,09:38,493.665,494.375,493.42,494.04,72906
MSFT,2026-08-26,09:39,494.05,494.68,492.86,492.92,69479
MSFT,2026-08-26,09:40,492.96,493.48,492.7801,492.87,58000
MSFT,2026-08-26,09:41,492.9399,494.75,492.81,494.64,69586
MSFT,2026-08-26,09:42,494.645,495.18,494.45,494.7773,123114
MSFT,2026-08-26,09:43,494.81,495.25,494.57,494.81,51863
MSFT,2026-08-26,09:44,494.82,495.11,494.6105,494.84,35376
MSFT,2026-08-26,09:45,494.77,495.08,494.35,494.654,81524
MSFT,2026-08-26,09:46,494.58,494.98,494.24,494.83,45257
MSFT,2026-08-26,09:47,494.715,495.23,494.6201,495.0237,39685
MSFT,2026-08-26,09:48,495.1336,495.7908,495.015,495.69,87781
MSFT,2026-08-26,09:49,495.695,496.6,495.27,496.6,91569
MSFT,2026-08-26,09:50,496.59,497.1399,495.6808,495.6808,97462
MSFT,2026-08-26,09:51,495.66,495.77,495.16,495.32,51917
MSFT,2026-08-26,09:52,495.18,495.38,494.1205,494.2484,47229
MSFT,2026-08-26,09:53,494.4,494.7499,494.1581,494.37,30123
MSFT,2026-08-26,09:54,494.28,495,494.27,494.8881,37393
MSFT,2026-08-26,09:55,494.8,495.15,494.54,495.095,30160
MSFT,2026-08-26,09:56,495.05,495.065,494.53,494.775,37198
MSFT,2026-08-26,09:57,494.73,495.145,494.44,495.1,37171
MSFT,2026-08-26,09:58,495,495.18,494.85,495.04,28958
MSFT,2026-08-26,09:59,495.12,495.215,494.77,495.215,36468
MSFT,2026-08-26,10:00,495.17,495.52,494.93,495.45,50877
MSFT,2026-08-26,10:01,495.375,495.44,494.85,495.06,45384
MSFT,2026-08-26,10:02,495.09,495.32,494.69,494.77,55827
MSFT,2026-08-26,10:03,494.75,495.2999,494.635,495.06,26351
MSFT,2026-08-26,10:04,495,495.35,494.6684,495.0908,57480
MSFT,2026-08-26,10:05,495.0911,495.33,494.985,495.19,44215
MSFT,2026-08-26,10:06,495.15,495.7699,495.1,495.61,48385
MSFT,2026-08-26,10:07,495.61,495.73,495.04,495.19,41825
MSFT,2026-08-26,10:08,495.24,495.79,495.19,495.245,38366
MSFT,2026-08-26,10:09,495.22,495.4,494.995,495.4,30946
MSFT,2026-08-26,10:10,495.345,495.4,494.92,494.945,63763
MSFT,2026-08-26,10:11,495,495.42,494.9,495.11,50877
MSFT,2026-08-26,10:12,495.14,495.19,494.91,495.045,48583
MSFT,2026-08-26,10:13,495.045,495.505,495.0001,495.21,32954
MSFT,2026-08-26,10:14,495.1627,495.5,495.1401,495.33,18238
MSFT,2026-08-26,10:15,495.26,495.3599,495.03,495.2858,35531
MSFT,2026-08-26,10:16,495.27,495.46,494.16,494.5,71352
MSFT,2026-08-26,10:17,494.505,494.86,494.44,494.6794,33249
MSFT,2026-08-26,10:18,494.7,495.41,494.7,495.41,40216
MSFT,2026-08-26,10:19,495.44,495.86,495.27,495.355,95098
MSFT,2026-08-26,10:20,495.345,496.74,495.345,496.53,100195
MSFT,2026-08-26,10:21,496.4401,496.55,495.8706,496.17,62666
MSFT,2026-08-26,10:22,496.06,496.31,495.1527,495.2,35455
MSFT,2026-08-26,10:23,495.27,495.27,494.615,494.8386,33638
MSFT,2026-08-26,10:24,494.88,494.88,494.15,494.215,26256
MSFT,2026-08-26,10:25,494.28,494.3097,493.6501,493.74,54204
MSFT,2026-08-26,10:26,493.715,493.95,493.27,493.51,59158
MSFT,2026-08-26,10:27,493.55,493.55,492.95,493.14,50989
MSFT,2026-08-26,10:28,493.16,493.44,493.05,493.37,30953
MSFT,2026-08-26,10:29,493.37,493.7,493.32,493.65,30722
MSFT,2026-08-26,10:30,493.62,494.35,493.61,494.02,49084
MSFT,2026-08-26,10:31,494.01,494.39,493.59,493.6,41802
MSFT,2026-08-26,10:32,493.61,493.78,493.34,493.69,23746
MSFT,2026-08-26,10:33,493.6734,493.86,493.54,493.7963,18490
MSFT,2026-08-26,10:34,493.775,494.08,493.68,494.025,31680
MSFT,2026-08-26,10:35,494.025,494.07,493.885,494.065,19291
MSFT,2026-08-26,10:36,494.12,494.12,493.84,494.06,17400
MSFT,2026-08-26,10:37,493.98,494.365,493.96,494.305,17108
MSFT,2026-08-26,10:38,494.355,494.39,493.92,493.92,22897
MSFT,2026-08-26,10:39,494.07,494.07,493.79,494.04,13846
MSFT,2026-08-26,10:40,494.04,494.27,493.88,493.97,29373
MSFT,2026-08-26,10:41,493.96,494.44,493.91,494.305,17254
MSFT,2026-08-26,10:42,494.27,494.43,494.08,494.155,21235
MSFT,2026-08-26,10:43,494.165,494.315,494.01,494.21,17541
MSFT,2026-08-26,10:44,494.2,494.4,494.1214,494.32,18602
MSFT,2026-08-26,10:45,494.32,494.325,493.9601,494.06,24760
MSFT,2026-08-26,10:46,494.085,494.3,494.04,494.246,13861
MSFT,2026-08-26,10:47,494.275,494.41,494.04,494.11,28230
MSFT,2026-08-26,10:48,494.14,494.58,494.05,494.555,34304
MSFT,2026-08-26,10:49,494.5101,494.82,494.49,494.79,38430
MSFT,2026-08-26,10:50,494.82,494.99,494.71,494.78,23238
MSFT,2026-08-26,10:51,494.75,494.84,494.5,494.63,19498
MSFT,2026-08-26,10:52,494.655,495.2,494.65,495.1,47205
MSFT,2026-08-26,10:53,495.04,495.38,495.0301,495.36,32153
MSFT,2026-08-26,10:54,495.36,495.38,494.86,494.925,25732
MSFT,2026-08-26,10:55,494.98,495.35,494.97,495.33,27707
MSFT,2026-08-26,10:56,495.21,495.47,495.13,495.31,31885
MSFT,2026-08-26,10:57,495.3101,495.5,495.13,495.44,13340
MSFT,2026-08-26,10:58,495.47,495.63,495.2291,495.57,30797
MSFT,2026-08-26,10:59,495.575,495.63,495.23,495.23,18810
MSFT,2026-08-26,11:00,495.3,495.3,495,495.08,24563
MSFT,2026-08-26,11:01,495.04,495.2,494.9029,495.03,23009
MSFT,2026-08-26,11:02,495.09,495.29,494.8,494.8,27376
MSFT,2026-08-26,11:03,494.85,495.0299,494.7,494.935,23753
MSFT,2026-08-26,11:04,494.9,494.95,494.75,494.87,15931
MSFT,2026-08-26,11:05,494.91,495.42,494.9008,495.42,25507
MSFT,2026-08-26,11:06,495.39,495.475,495.19,495.1901,21854
MSFT,2026-08-26,11:07,495.2095,495.2838,494.7,494.8599,26978
MSFT,2026-08-26,11:08,494.82,495.179,494.815,495.08,16173
MSFT,2026-08-26,11:09,495.085,495.09,494.76,494.785,16974
MSFT,2026-08-26,11:10,494.78,494.88,494.598,494.86,27380
MSFT,2026-08-26,11:11,494.82,494.94,494.7001,494.755,29916
MSFT,2026-08-26,11:12,494.76,494.857,494.65,494.81,18254
MSFT,2026-08-26,11:13,494.83,495.22,494.83,495.2,15649
MSFT,2026-08-26,11:14,495.2,495.3499,495.14,495.175,13643
MSFT,2026-08-26,11:15,495.175,495.3,495.0101,495.28,18864
MSFT,2026-08-26,11:16,495.27,495.46,495.1,495.105,48317
MSFT,2026-08-26,11:17,495.08,495.09,494.68,494.727,24410
MSFT,2026-08-26,11:18,494.775,495.0092,494.7662,494.925,76264
MSFT,2026-08-26,11:19,494.935,495.07,494.895,495.01,21041
MSFT,2026-08-26,11:20,495.01,495.42,495.01,495.33,39953
MSFT,2026-08-26,11:21,495.335,495.4,495.24,495.36,14463
MSFT,2026-08-26,11:22,495.4,495.56,495.27,495.415,38459
MSFT,2026-08-26,11:23,495.42,495.6,495.34,495.5475,25362
MSFT,2026-08-26,11:24,495.6,495.6,495.28,495.395,49991
MSFT,2026-08-26,11:25,495.4004,495.4239,494.915,495.045,20735
MSFT,2026-08-26,11:26,494.955,495.32,494.93,495.04,26733
MSFT,2026-08-26,11:27,495.04,495.13,494.87,494.97,27680
MSFT,2026-08-26,11:28,495,495.105,494.91,495.105,18946
MSFT,2026-08-26,11:29,495.09,495.26,494.9601,494.995,19243
MSFT,2026-08-26,11:30,494.995,495.07,494.91,495.035,18783
MSFT,2026-08-26,11:31,495.035,495.39,494.95,495.365,24222
MSFT,2026-08-26,11:32,495.33,495.37,495.1,495.13,166972
MSFT,2026-08-26,11:33,495.13,495.13,494.78,494.9,28559
MSFT,2026-08-26,11:34,494.9,495.07,494.88,495.03,12596
MSFT,2026-08-26,11:35,494.98,495.16,494.965,495.12,26583
MSFT,2026-08-26,11:36,495.15,495.16,494.58,494.83,23602
MSFT,2026-08-26,11:37,494.79,494.8816,494.6692,494.86,17489
MSFT,2026-08-26,11:38,494.87,494.876,494.7551,494.79,7812
MSFT,2026-08-26,11:39,494.8025,495.05,494.8025,494.99,12814
MSFT,2026-08-26,11:40,494.99,495.01,494.84,494.99,14993
MSFT,2026-08-26,11:41,494.92,495.15,494.92,495.09,9724
MSFT,2026-08-26,11:42,495.1499,495.15,494.8,495.015,92723
