symbol,date,time,open,high,low,close,volume
MU,2026-08-28,09:30,919.485,920,912.13,917.87,956218
MU,2026-08-28,09:31,917.885,920.49,913.79,913.975,120720
MU,2026-08-28,09:32,914.17,916.7299,911.984,914.969,170203
MU,2026-08-28,09:33,914.47,915.09,909.09,912.22,155375
MU,2026-08-28,09:34,912,915.2617,911.535,913.71,79025
MU,2026-08-28,09:35,914.025,915.77,911.49,915.325,97251
MU,2026-08-28,09:36,915.25,921.87,913.23,921.8121,155343
MU,2026-08-28,09:37,921.74,922.49,917.6181,917.6348,118257
MU,2026-08-28,09:38,917.915,925.56,917.4901,925.35,174934
MU,2026-08-28,09:39,925.32,927.8799,923.91,926.1222,131408
MU,2026-08-28,09:40,926.24,930.01,925.82,929.8153,156192
MU,2026-08-28,09:41,930,931.71,929.2,931.34,133443
MU,2026-08-28,09:42,931.26,931.79,928.02,929.03,109307
MU,2026-08-28,09:43,929.59,929.9995,925.5301,926.97,114980
MU,2026-08-28,09:44,927.4,927.69,922.28,923,161179
MU,2026-08-28,09:45,923.09,928.59,922.95,928.095,92197
MU,2026-08-28,09:46,928.29,929.8,927.6201,929.29,96540
MU,2026-08-28,09:47,929.1701,930.86,927.718,930.625,92855
MU,2026-08-28,09:48,930.51,933.55,930.51,933.25,164880
MU,2026-08-28,09:49,933.25,935.87,930.55,931.765,183448
MU,2026-08-28,09:50,931.765,934.9799,931,933.5,106117
MU,2026-08-28,09:51,933.64,934.29,931.1,932.005,75367
MU,2026-08-28,09:52,931.8301,933.23,930.05,931.2,73804
MU,2026-08-28,09:53,930.39,931.97,929.211,931.05,75354
MU,2026-08-28,09:54,931.02,931.56,929.14,929.29,50718
MU,2026-08-28,09:55,929.155,929.75,927.85,928.94,62474
MU,2026-08-28,09:56,928.93,930.7499,928.34,930.25,47998
MU,2026-08-28,09:57,930.25,932.924,929.26,932.66,75597
MU,2026-08-28,09:58,932.98,936.02,932.45,936.02,143457
MU,2026-08-28,09:59,935.9251,937.7,932.1,932.6,127626
MU,2026-08-28,10:00,932.26,938.14,930.75,936.33,135899
MU,2026-08-28,10:01,936.4183,939.23,936.0201,936.9504,121443
MU,2026-08-28,10:02,937.09,939,934.88,936.625,101085
MU,2026-08-28,10:03,936.2601,937.25,933.61,933.61,81337
MU,2026-08-28,10:04,933.4001,937.06,933.2301,936.44,91645
MU,2026-08-28,10:05,936.51,938.38,934,934.29,107693
MU,2026-08-28,10:06,934.53,934.58,931,933.53,128399
MU,2026-08-28,10:07,933.745,933.745,929.3,930.09,115482
MU,2026-08-28,10:08,930.17,933.3,928.5728,933.3,97553
MU,2026-08-28,10:09,933.07,935.4,931.78,931.78,83648
MU,2026-08-28,10:10,931.6392,935.98,930.671,932.99,82316
MU,2026-08-28,10:11,933.07,933.2999,929,931.49,91650
MU,2026-08-28,10:12,931.11,931.335,927.75,929.33,91089
MU,2026-08-28,10:13,929.525,929.525,925.1601,928.2,109644
MU,2026-08-28,10:14,928.055,930.3639,927.3001,929.3098,77893
MU,2026-08-28,10:15,928.93,932.88,928.93,932.181,100394
MU,2026-08-28,10:16,932.455,933.63,930.8393,932.63,60111
MU,2026-08-28,10:17,933.1799,935.3448,931.5,935.01,97611
MU,2026-08-28,10:18,935.0101,936.37,933.52,933.965,92459
MU,2026-08-28,10:19,933.965,938.6399,933.54,934.5674,95051
MU,2026-08-28,10:20,934.765,938.5,934.17,936,76959
MU,2026-08-28,10:21,936.005,940.62,935.8215,940.065,171785
MU,2026-08-28,10:22,940,942.79,939.76,942.25,165368
MU,2026-08-28,10:23,942.16,942.84,939.81,941,124459
MU,2026-08-28,10:24,941.02,941.069,937.54,939.965,87972
MU,2026-08-28,10:25,940.1548,942.39,939.5801,941.68,125127
MU,2026-08-28,10:26,940.82,942.0999,939.55,941.88,84660
MU,2026-08-28,10:27,942.18,942.98,940.28,941.33,87896
MU,2026-08-28,10:28,940.7325,943.87,940.5501,942.19,100810
MU,2026-08-28,10:29,941.9893,945.18,941.38,945,141562
MU,2026-08-28,10:30,944.985,945.48,942.644,944.57,96396
MU,2026-08-28,10:31,944.426,945.54,942.29,943.6982,103529
MU,2026-08-28,10:32,943.99,945.2999,942.29,943.325,79456
MU,2026-08-28,10:33,943.2,944.97,941.58,944.26,77492
MU,2026-08-28,10:34,944.19,946.3399,944.07,945.55,125098
MU,2026-08-28,10:35,945.85,946.7999,943.5435,943.98,85166
MU,2026-08-28,10:36,943.85,944.3999,942.271,943.22,84807
MU,2026-08-28,10:37,942.9,943.66,941.5362,943.47,55689
MU,2026-08-28,10:38,943.3501,943.92,942.84,943,46317
MU,2026-08-28,10:39,943.09,943.1906,940.36,940.36,64248
MU,2026-08-28,10:40,940.445,941.26,939.57,940.172,86926
MU,2026-08-28,10:41,940.33,941,939.16,939.57,53311
MU,2026-08-28,10:42,939.64,942.4799,939.53,941.5101,61601
MU,2026-08-28,10:43,941.755,942.3685,941.0001,941.805,34775
MU,2026-08-28,10:44,941.772,944.79,941.64,942.4,96296
MU,2026-08-28,10:45,942.31,943.3819,941.85,942.3804,43390
MU,2026-08-28,10:46,942.1601,942.75,941.01,941.755,40972
MU,2026-08-28,10:47,941.755,942.4309,940.11,940.5528,43721
MU,2026-08-28,10:48,940.7407,941.14,940.21,940.7512,37447
MU,2026-08-28,10:49,940.8156,941.5,938.17,938.4,98359
MU,2026-08-28,10:50,938.2506,939.9899,937.82,938.5801,66779
MU,2026-08-28,10:51,938.69,938.69,935.49,935.695,69255
MU,2026-08-28,10:52,935.8,936.37,934.6811,935.34,80294
MU,2026-08-28,10:53,935.395,936.4,934.745,934.9182,53223
MU,2026-08-28,10:54,935.005,935.89,934.31,934.78,52882
MU,2026-08-28,10:55,934.68,937.8,934.31,937.588,74309
MU,2026-08-28,10:56,937.575,940.3399,937.35,940.0205,87252
MU,2026-08-28,10:57,940.01,940.47,938.72,939.485,50690
MU,2026-08-28,10:58,939.5318,939.63,938.49,938.925,42344
MU,2026-08-28,10:59,939.0019,940.9,939,940.69,54353
MU,2026-08-28,11:00,940.5605,942.12,940.431,941.695,68413
MU,2026-08-28,11:01,941.73,942,938.08,938.1,51260
MU,2026-08-28,11:02,938.13,939.58,936.51,939.06,58588
MU,2026-08-28,11:03,939.2536,942.5,939.04,941.995,76121
MU,2026-08-28,11:04,942.01,942.3,941.11,941.415,65673
MU,2026-08-28,11:05,941.1,941.9,940.1601,941.0412,41111
MU,2026-08-28,11:06,941.185,942,939.8,940.655,32619
MU,2026-08-28,11:07,940.66,941.95,940,940.09,27406
MU,2026-08-28,11:08,940.05,940.88,938.6001,940.59,31957
MU,2026-08-28,11:09,940.88,941.8199,940,940.15,38949
MU,2026-08-28,11:10,940.09,940.55,937.411,937.73,47181
MU,2026-08-28,11:11,937.68,939.4696,937.2,938.2,60663
MU,2026-08-28,11:12,938.03,938.7835,937.081,938.3,39520
MU,2026-08-28,11:13,938.4258,939.8,937.62,939.53,36463
MU,2026-08-28,11:14,939.52,940,937.5,937.92,28938
MU,2026-08-28,11:15,937.615,941.6599,937.6,940,43734
MU,2026-08-28,11:16,940,940.81,939.4635,939.57,24149
MU,2026-08-28,11:17,939.695,940.32,938.0005,939.76,40059
MU,2026-08-28,11:18,939.77,940.87,939.5401,940.63,23223
MU,2026-08-28,11:19,940.46,941.66,940.2676,941,31939
MU,2026-08-28,11:20,941,942.4,940.83,941.86,51731
MU,2026-08-28,11:21,942,942,938.56,939.02,37597
MU,2026-08-28,11:22,938.7,940,937.77,938.2107,30704
MU,2026-08-28,11:23,938.45,941,938.33,940.2,32479
MU,2026-08-28,11:24,939.8318,940.24,938.5001,939.07,19590
MU,2026-08-28,11:25,938.785,940.18,938.3,940.124,24891
MU,2026-08-28,11:26,940.18,940.58,938.645,939.03,27779
MU,2026-08-28,11:27,939.09,939.09,938,938.8677,23695
MU,2026-08-28,11:28,938.74,938.9316,937.8,938.225,25186
MU,2026-08-28,11:29,938.25,938.91,937.52,938.67,25154
MU,2026-08-28,11:30,938.44,938.44,937.4,937.48,27430
MU,2026-08-28,11:31,937.57,937.99,937.06,937.505,17970
MU,2026-08-28,11:32,937.495,939.14,937.31,938.8,24469
MU,2026-08-28,11:33,938.99,939.44,938.0001,938.28,20783
MU,2026-08-28,11:34,938.28,938.9999,937.5976,938.195,12676
MU,2026-08-28,11:35,938.14,939.4,937.81,938.71,23157
MU,2026-08-28,11:36,938.9,939.38,938.25,938.45,16221
MU,2026-08-28,11:37,938.4342,938.5985,937.06,937.195,20716
MU,2026-08-28,11:38,937.1158,937.7762,935.79,935.83,59089
MU,2026-08-28,11:39,935.8951,936.1058,935.0301,935.465,35470
MU,2026-08-28,11:40,935.465,935.465,931.8,932.17,84455
MU,2026-08-28,11:41,932.17,933.09,931.22,932.83,50911
MU,2026-08-28,11:42,932.8282,932.8299,931.1288,931.87,38516
MU,2026-08-28,11:43,931.76,932.4623,931.32,931.835,27271
MU,2026-08-28,11:44,931.56,931.81,930.72,931.35,64201
MU,2026-08-28,11:45,931.39,932,930.66,931.2366,39965
MU,2026-08-28,11:46,931.4438,931.58,929.07,929.375,77164
MU,2026-08-28,11:47,929.1001,929.98,928.43,928.6014,43057
MU,2026-08-28,11:48,928.5,928.88,926.26,928.09,82409
MU,2026-08-28,11:49,927.92,927.92,926,926.425,53826
MU,2026-08-28,11:50,926.65,927.435,924.22,924.765,95682
MU,2026-08-28,11:51,924.7682,925.25,922.76,923.33,69026
MU,2026-08-28,11:52,923.2,923.5099,921.97,922.1601,102867
MU,2026-08-28,11:53,922.295,924.67,922.0501,922.295,106743
MU,2026-08-28,11:54,922.29,925.19,921.8,925.04,78597
MU,2026-08-28,11:55,925.0202,925.2,923.13,923.22,55739
MU,2026-08-28,11:56,923.22,923.95,921.3119,921.385,72158
MU,2026-08-28,11:57,921.385,922.08,920.3,920.96,87197
MU,2026-08-28,11:58,920.775,921.9799,920.2,921.25,68911
MU,2026-08-28,11:59,921.46,921.9999,920.6,921.325,49969
MU,2026-08-28,12:00,921.335,921.8099,919.42,919.485,95683
MU,2026-08-28,12:01,919.45,919.5648,916.0001,918.54,131747
MU,2026-08-28,12:02,918.92,920,917.35,919.31,78310
MU,2026-08-28,12:03,919.32,919.81,918.4016,919.48,55397
MU,2026-08-28,12:04,919.38,920.38,916.6,916.975,91273
MU,2026-08-28,12:05,916.975,920,916.67,920,60714
MU,2026-08-28,12:06,919.97,920.7299,918.0002,919.655,73434
MU,2026-08-28,12:07,919.685,920.84,919.28,920.34,53041
MU,2026-08-28,12:08,920.2896,921,919.0957,920.755,41776
MU,2026-08-28,12:09,920.9999,922.99,920.83,922.755,68253
MU,2026-08-28,12:10,922.56,923,921,922.79,58247
MU,2026-08-28,12:11,922.79,922.9,919.01,919.67,54634
MU,2026-08-28,12:12,919.0601,921.31,918.7201,920.4,38689
MU,2026-08-28,12:13,920.53,920.86,919.09,919.345,35198
MU,2026-08-28,12:14,919.345,920.44,918.6447,918.8874,41832
MU,2026-08-28,12:15,918.855,920.23,917.36,917.7,51285
MU,2026-08-28,12:16,917.43,919,916.86,918.16,45614
MU,2026-08-28,12:17,918.345,919.22,917.2,918.675,50625
MU,2026-08-28,12:18,918.87,919.7999,917.76,918.001,43351
MU,2026-08-28,12:19,918,920.4,917.7301,919.81,47820
MU,2026-08-28,12:20,919.91,920.67,918.4701,919.11,39190
MU,2026-08-28,12:21,918.87,920.4408,917.8801,920.017,41672
MU,2026-08-28,12:22,920.48,920.9899,919.2,919.84,29115
MU,2026-08-28,12:23,919.816,920.4,919.52,919.96,21322
MU,2026-08-28,12:24,919.95,921.213,918.33,920,38432
MU,2026-08-28,12:25,920.175,920.72,919.1701,919.92,23996
MU,2026-08-28,12:26,920.12,921.06,919.4822,919.7,33154
MU,2026-08-28,12:27,919.7,920.15,919.21,920.12,29760
MU,2026-08-28,12:28,920.12,920.94,919.455,919.895,28352
MU,2026-08-28,12:29,919.7,920.59,919.5,919.67,22943
MU,2026-08-28,12:30,919.8801,920.73,919.4,919.98,26024
MU,2026-08-28,12:31,920.06,920.8999,919.78,920.4,24861
MU,2026-08-28,12:32,920.52,921.45,920,920.8899,33398
MU,2026-08-28,12:33,920.7,920.9447,919.88,920.3,24435
MU,2026-08-28,12:34,920.35,920.5,918.0817,918.0817,30621
MU,2026-08-28,12:35,918.145,920.28,917.9001,920.1063,48569
MU,2026-08-28,12:36,920.22,920.41,919.18,920,25801
MU,2026-08-28,12:37,919.82,921.3598,919.28,920.86,26686
MU,2026-08-28,12:38,920.605,921.26,919.77,920.6,19851
MU,2026-08-28,12:39,920.47,920.47,918.25,919.4,30406
MU,2026-08-28,12:40,919.4224,919.7,917.52,917.775,32424
MU,2026-08-28,12:41,917.845,918.7899,916.2001,917.995,55301
MU,2026-08-28,12:42,918,919,917.7601,918.42,31798
MU,2026-08-28,12:43,918.46,918.7999,917.13,918.355,27541
MU,2026-08-28,12:44,918.1101,918.8,917.95,918.28,18167
