symbol,date,time,open,high,low,close,volume
NFLX,2026-08-28,09:30,80.34,80.38,79.98,80.04,625321
NFLX,2026-08-28,09:31,79.99,80.312,79.95,80.29,37974
NFLX,2026-08-28,09:32,80.3,80.33,80.085,80.315,50113
NFLX,2026-08-28,09:33,80.305,80.41,80.24,80.24,53432
NFLX,2026-08-28,09:34,80.285,80.59,80.285,80.51,111731
NFLX,2026-08-28,09:35,80.4625,80.68,80.45,80.665,121268
NFLX,2026-08-28,09:36,80.67,80.8,80.54,80.57,111810
NFLX,2026-08-28,09:37,80.57,80.75,80.55,80.731,69331
NFLX,2026-08-28,09:38,80.7524,80.79,80.595,80.67,31422
NFLX,2026-08-28,09:39,80.7,80.75,80.5,80.555,110564
NFLX,2026-08-28,09:40,80.555,80.57,80.4,80.43,78181
NFLX,2026-08-28,09:41,80.4571,80.475,80.35,80.455,98718
NFLX,2026-08-28,09:42,80.4434,80.48,80.35,80.35,24618
NFLX,2026-08-28,09:43,80.345,80.54,80.319,80.535,38365
NFLX,2026-08-28,09:44,80.52,80.59,80.49,80.58,31164
NFLX,2026-08-28,09:45,80.5845,80.6699,80.56,80.5952,50712
NFLX,2026-08-28,09:46,80.61,80.71,80.585,80.63,46372
NFLX,2026-08-28,09:47,80.61,80.69,80.55,80.6801,45402
NFLX,2026-08-28,09:48,80.69,80.79,80.66,80.75,62580
NFLX,2026-08-28,09:49,80.735,80.78,80.66,80.775,69695
NFLX,2026-08-28,09:50,80.7815,80.7899,80.705,80.72,47392
NFLX,2026-08-28,09:51,80.72,80.79,80.72,80.78,38019
NFLX,2026-08-28,09:52,80.775,81.02,80.775,81.01,178183
NFLX,2026-08-28,09:53,81.005,81.03,80.9,80.9101,54528
NFLX,2026-08-28,09:54,80.92,80.975,80.8895,80.975,57023
NFLX,2026-08-28,09:55,80.97,81.08,80.97,81.065,47845
NFLX,2026-08-28,09:56,81.0717,81.14,81.0601,81.1,75980
NFLX,2026-08-28,09:57,81.1,81.12,80.98,80.99,53062
NFLX,2026-08-28,09:58,80.995,81.02,80.88,80.895,63629
NFLX,2026-08-28,09:59,80.9,81,80.83,80.91,43920
NFLX,2026-08-28,10:00,80.905,81.05,80.85,81.0301,51291
NFLX,2026-08-28,10:01,81.06,81.09,80.92,80.92,68417
NFLX,2026-08-28,10:02,80.9388,81.02,80.89,81.02,53378
NFLX,2026-08-28,10:03,81.02,81.04,80.98,81.0278,34501
NFLX,2026-08-28,10:04,81.02,81.03,80.8601,81,40950
NFLX,2026-08-28,10:05,80.9601,81.05,80.94,81,51149
NFLX,2026-08-28,10:06,81,81.04,80.985,81.0299,61281
NFLX,2026-08-28,10:07,81.0392,81.08,80.97,80.9905,54716
NFLX,2026-08-28,10:08,80.99,81.04,80.97,81,33311
NFLX,2026-08-28,10:09,80.97,81.085,80.97,81.0399,66118
NFLX,2026-08-28,10:10,81.025,81.05,80.84,80.86,98152
NFLX,2026-08-28,10:11,80.85,80.92,80.811,80.9,68430
NFLX,2026-08-28,10:12,80.915,80.93,80.83,80.8951,47122
NFLX,2026-08-28,10:13,80.92,80.92,80.8128,80.8128,29895
NFLX,2026-08-28,10:14,80.81,80.81,80.685,80.735,42954
NFLX,2026-08-28,10:15,80.74,80.77,80.725,80.73,32493
NFLX,2026-08-28,10:16,80.73,80.8699,80.73,80.845,41251
NFLX,2026-08-28,10:17,80.83,80.8999,80.8201,80.8913,33859
NFLX,2026-08-28,10:18,80.8728,81.07,80.87,81.07,76678
NFLX,2026-08-28,10:19,81.065,81.11,81.05,81.1,38370
