symbol,date,time,open,high,low,close,volume
NVDA,2026-08-26,09:30,212.42,213.21,212.2,212.6825,5353125
NVDA,2026-08-26,09:31,212.64,213.58,212.4601,213.55,588228
NVDA,2026-08-26,09:32,213.58,213.6,212.25,212.32,586765
NVDA,2026-08-26,09:33,212.31,212.8,212.12,212.226,470179
NVDA,2026-08-26,09:34,212.22,212.2374,211.6,211.7402,591230
NVDA,2026-08-26,09:35,211.74,211.74,210.7801,211.0703,785737
NVDA,2026-08-26,09:36,211.065,211.7399,210.97,211.7,465778
NVDA,2026-08-26,09:37,211.685,211.92,211.5,211.69,499991
NVDA,2026-08-26,09:38,211.73,211.9,211.53,211.78,403099
NVDA,2026-08-26,09:39,211.75,211.89,211.51,211.822,396578
NVDA,2026-08-26,09:40,211.8379,212.38,211.7939,212.36,409533
NVDA,2026-08-26,09:41,212.3213,212.3831,211.933,212.0799,298291
NVDA,2026-08-26,09:42,212.07,212.14,211.84,212.045,227261
NVDA,2026-08-26,09:43,212.045,212.48,212.03,212.3401,413705
NVDA,2026-08-26,09:44,212.35,212.93,212.35,212.91,529809
NVDA,2026-08-26,09:45,212.91,213.55,212.865,213.54,616058
NVDA,2026-08-26,09:46,213.53,213.6,212.81,212.985,573004
NVDA,2026-08-26,09:47,213,213.12,212.75,212.9127,264051
NVDA,2026-08-26,09:48,212.91,212.91,212.39,212.43,406570
NVDA,2026-08-26,09:49,212.43,212.71,212.4,212.46,293857
NVDA,2026-08-26,09:50,212.46,212.6199,212.07,212.135,372940
NVDA,2026-08-26,09:51,212.14,212.28,211.9303,212.26,309894
NVDA,2026-08-26,09:52,212.2611,212.33,212.15,212.25,233853
NVDA,2026-08-26,09:53,212.2475,212.37,212.13,212.21,274457
NVDA,2026-08-26,09:54,212.2,212.4899,212.16,212.4899,311591
NVDA,2026-08-26,09:55,212.475,212.5,212.256,212.355,260802
NVDA,2026-08-26,09:56,212.35,212.43,212.27,212.32,177808
NVDA,2026-08-26,09:57,212.32,212.42,212.2501,212.345,160362
NVDA,2026-08-26,09:58,212.345,212.54,212.3401,212.5299,205479
NVDA,2026-08-26,09:59,212.52,212.7,212.4763,212.67,254282
NVDA,2026-08-26,10:00,212.64,212.67,212.32,212.405,326303
NVDA,2026-08-26,10:01,212.4,212.43,212.12,212.21,286807
NVDA,2026-08-26,10:02,212.2,212.3,212.16,212.18,195016
NVDA,2026-08-26,10:03,212.18,212.24,212.0841,212.14,166037
NVDA,2026-08-26,10:04,212.15,212.2099,212.0311,212.06,154294
NVDA,2026-08-26,10:05,212.08,212.15,211.9499,211.96,240341
NVDA,2026-08-26,10:06,211.96,212.05,211.76,211.8999,226592
NVDA,2026-08-26,10:07,211.89,211.92,211.81,211.835,165162
NVDA,2026-08-26,10:08,211.835,211.95,211.83,211.9301,223874
NVDA,2026-08-26,10:09,211.94,211.9499,211.72,211.73,244981
NVDA,2026-08-26,10:10,211.73,211.81,211.67,211.68,238161
NVDA,2026-08-26,10:11,211.68,211.73,211.6,211.68,169564
NVDA,2026-08-26,10:12,211.68,211.68,211.4101,211.545,289904
NVDA,2026-08-26,10:13,211.55,211.73,211.465,211.71,188788
NVDA,2026-08-26,10:14,211.71,211.76,211.48,211.485,199893
NVDA,2026-08-26,10:15,211.485,211.485,211.28,211.35,294694
NVDA,2026-08-26,10:16,211.35,211.4348,211.2801,211.33,246334
NVDA,2026-08-26,10:17,211.335,211.41,211.2,211.41,267481
NVDA,2026-08-26,10:18,211.418,211.4894,211.235,211.24,256780
NVDA,2026-08-26,10:19,211.25,211.26,211.04,211.07,330294
NVDA,2026-08-26,10:20,211.06,211.065,210.83,210.875,433692
NVDA,2026-08-26,10:21,210.8688,211.03,210.69,210.75,416042
NVDA,2026-08-26,10:22,210.74,210.84,210.6,210.77,356062
NVDA,2026-08-26,10:23,210.78,210.815,210.5,210.505,314713
NVDA,2026-08-26,10:24,210.505,210.57,210.325,210.465,396549
NVDA,2026-08-26,10:25,210.465,210.685,210.33,210.3324,403518
NVDA,2026-08-26,10:26,210.3201,210.3994,210.24,210.34,352690
NVDA,2026-08-26,10:27,210.3399,210.4849,210.26,210.2999,310693
NVDA,2026-08-26,10:28,210.29,210.539,210.1932,210.5269,430978
NVDA,2026-08-26,10:29,210.52,210.68,210.495,210.5026,342176
NVDA,2026-08-26,10:30,210.4901,210.6297,210.4,210.5076,271922
NVDA,2026-08-26,10:31,210.51,210.53,210.35,210.5269,246829
NVDA,2026-08-26,10:32,210.52,210.54,210.3,210.39,184033
NVDA,2026-08-26,10:33,210.405,210.44,210.3406,210.37,129087
NVDA,2026-08-26,10:34,210.365,210.4114,210.23,210.2753,221057
NVDA,2026-08-26,10:35,210.28,210.28,210.0808,210.13,329764
NVDA,2026-08-26,10:36,210.13,210.495,210.12,210.495,255188
NVDA,2026-08-26,10:37,210.495,210.6,210.445,210.575,294393
NVDA,2026-08-26,10:38,210.575,210.6,210.5,210.545,241976
NVDA,2026-08-26,10:39,210.535,210.68,210.49,210.565,288438
NVDA,2026-08-26,10:40,210.57,210.82,210.56,210.815,355963
NVDA,2026-08-26,10:41,210.815,210.8199,210.66,210.73,192034
NVDA,2026-08-26,10:42,210.74,210.74,210.5,210.52,217727
NVDA,2026-08-26,10:43,210.518,210.67,210.49,210.5097,225643
NVDA,2026-08-26,10:44,210.5098,210.92,210.49,210.805,261869
NVDA,2026-08-26,10:45,210.81,210.905,210.72,210.755,197348
NVDA,2026-08-26,10:46,210.75,210.9195,210.74,210.885,187454
NVDA,2026-08-26,10:47,210.8892,211.03,210.88,211.005,406101
NVDA,2026-08-26,10:48,211.015,211.07,210.9609,211.03,246554
NVDA,2026-08-26,10:49,211.03,211.0816,211.0001,211.02,184852
NVDA,2026-08-26,10:50,211.03,211.32,211.03,211.274,269653
NVDA,2026-08-26,10:51,211.275,211.4,211.21,211.275,270889
NVDA,2026-08-26,10:52,211.275,211.34,211.23,211.25,170891
NVDA,2026-08-26,10:53,211.24,211.3,211.15,211.19,273425
NVDA,2026-08-26,10:54,211.19,211.2,211.0601,211.075,225591
NVDA,2026-08-26,10:55,211.0899,211.255,211.07,211.24,259502
NVDA,2026-08-26,10:56,211.24,211.38,211.145,211.16,213857
NVDA,2026-08-26,10:57,211.19,211.23,211.09,211.205,108233
