symbol,date,time,open,high,low,close,volume
ORCL,2026-08-28,09:30,153.6,153.99,152.64,153.345,989650
ORCL,2026-08-28,09:31,153.07,153.79,152.55,152.8273,89365
ORCL,2026-08-28,09:32,152.8,153.6498,152.62,153.62,92110
ORCL,2026-08-28,09:33,153.625,153.74,152.4,153.11,113935
ORCL,2026-08-28,09:34,153,153.17,152.52,152.905,90458
ORCL,2026-08-28,09:35,152.905,152.9633,152.05,152.5,117266
ORCL,2026-08-28,09:36,152.6629,153.34,152.31,153.2,108321
ORCL,2026-08-28,09:37,153.2,153.29,152.48,152.6768,33987
ORCL,2026-08-28,09:38,152.72,153,152.5763,152.805,26606
ORCL,2026-08-28,09:39,152.93,153.3299,152.6,152.67,113158
ORCL,2026-08-28,09:40,152.6821,152.9899,152.51,152.66,54016
ORCL,2026-08-28,09:41,152.655,152.908,152.4159,152.69,69691
ORCL,2026-08-28,09:42,152.785,152.9,152.5408,152.9,19353
ORCL,2026-08-28,09:43,152.91,153.23,152.2401,152.465,50493
ORCL,2026-08-28,09:44,152.36,152.9,152.36,152.63,26264
ORCL,2026-08-28,09:45,152.53,152.655,152.3,152.3252,27067
ORCL,2026-08-28,09:46,152.39,152.6599,152.15,152.6599,28540
ORCL,2026-08-28,09:47,152.6586,153.19,152.59,153.0959,109807
ORCL,2026-08-28,09:48,153.19,153.24,152.8683,152.96,35597
ORCL,2026-08-28,09:49,153.0588,153.0588,152.43,152.6148,30090
ORCL,2026-08-28,09:50,152.56,152.78,152.4,152.53,28949
ORCL,2026-08-28,09:51,152.56,152.6243,152.258,152.5,56099
ORCL,2026-08-28,09:52,152.575,152.65,152.3,152.3,22089
ORCL,2026-08-28,09:53,152.335,152.63,152.325,152.47,26678
ORCL,2026-08-28,09:54,152.62,152.83,152.47,152.47,32750
ORCL,2026-08-28,09:55,152.47,152.6699,152.23,152.54,28526
ORCL,2026-08-28,09:56,152.47,152.7999,152.39,152.59,27988
ORCL,2026-08-28,09:57,152.655,152.8,152.43,152.43,23532
ORCL,2026-08-28,09:58,152.51,152.75,152.41,152.64,12530
ORCL,2026-08-28,09:59,152.62,152.86,152.58,152.705,31747
ORCL,2026-08-28,10:00,152.7184,153.1,152.4,152.89,53204
ORCL,2026-08-28,10:01,152.76,152.76,151.75,151.76,98689
ORCL,2026-08-28,10:02,151.68,151.9592,151.5101,151.62,57141
ORCL,2026-08-28,10:03,151.625,151.64,151.24,151.255,69144
ORCL,2026-08-28,10:04,151.215,151.37,151.09,151.2979,41237
ORCL,2026-08-28,10:05,151.335,151.4449,150.9201,150.9201,97887
ORCL,2026-08-28,10:06,150.99,151.1,150.6,150.725,64375
ORCL,2026-08-28,10:07,150.76,150.8899,150.5601,150.715,32691
ORCL,2026-08-28,10:08,150.715,150.99,150.61,150.91,33853
ORCL,2026-08-28,10:09,150.92,151.07,150.7201,150.81,38357
ORCL,2026-08-28,10:10,150.79,151,150.61,150.61,30411
ORCL,2026-08-28,10:11,150.645,150.79,150.5601,150.6675,52981
ORCL,2026-08-28,10:12,150.66,150.9,150.41,150.819,45514
ORCL,2026-08-28,10:13,150.67,150.6999,150.0301,150.21,94253
ORCL,2026-08-28,10:14,150.235,150.6156,150.08,150.56,46043
ORCL,2026-08-28,10:15,150.4401,150.87,150.4401,150.7743,79866
ORCL,2026-08-28,10:16,150.71,151.18,150.59,151.17,44942
ORCL,2026-08-28,10:17,151.065,151.1398,150.8405,151.055,37654
ORCL,2026-08-28,10:18,151.055,151.2899,150.96,151.205,33684
ORCL,2026-08-28,10:19,151.215,151.595,151.21,151.3785,105913
ORCL,2026-08-28,10:20,151.4151,151.89,151.415,151.7,37281
ORCL,2026-08-28,10:21,151.745,152.08,151.6747,151.86,41527
ORCL,2026-08-28,10:22,151.87,152.09,151.78,152.07,46206
ORCL,2026-08-28,10:23,152.035,152.1099,151.77,151.845,62257
ORCL,2026-08-28,10:24,151.77,151.91,151.6,151.91,27920
ORCL,2026-08-28,10:25,151.915,151.92,151.4,151.464,48007
ORCL,2026-08-28,10:26,151.472,151.472,151.21,151.395,26065
ORCL,2026-08-28,10:27,151.395,151.4421,150.85,151.095,55034
ORCL,2026-08-28,10:28,151.095,151.24,151.01,151.15,19310
ORCL,2026-08-28,10:29,151.135,151.6,151.06,151.35,27078
ORCL,2026-08-28,10:30,151.455,151.5,150.96,151.075,40358
ORCL,2026-08-28,10:31,151.1,151.17,150.92,151.08,47045
ORCL,2026-08-28,10:32,151.13,151.51,151.075,151.35,27067
ORCL,2026-08-28,10:33,151.35,151.3999,151.21,151.33,20109
ORCL,2026-08-28,10:34,151.38,151.6,151.285,151.5699,24806
ORCL,2026-08-28,10:35,151.525,151.63,151.33,151.38,45951
ORCL,2026-08-28,10:36,151.434,151.65,151.385,151.59,28433
ORCL,2026-08-28,10:37,151.6136,151.98,151.6136,151.849,24850
ORCL,2026-08-28,10:38,151.9,152.15,151.82,151.99,55076
ORCL,2026-08-28,10:39,152,152.06,151.63,151.63,19653
ORCL,2026-08-28,10:40,151.71,152.04,151.71,152.015,25538
ORCL,2026-08-28,10:41,152.03,152.2763,152.03,152.09,39800
ORCL,2026-08-28,10:42,152.1,152.17,151.87,152.07,31931
ORCL,2026-08-28,10:43,152.14,152.26,152.02,152.12,23953
ORCL,2026-08-28,10:44,152.2,152.6499,152.09,152.6,48879
ORCL,2026-08-28,10:45,152.61,152.65,152.3,152.36,36227
