symbol,date,time,open,high,low,close,volume
PLTR,2026-08-28,09:30,184.94,187.2,184.653,186.8384,1073409
PLTR,2026-08-28,09:31,186.69,187.3,186.2001,186.3832,135118
PLTR,2026-08-28,09:32,186.38,186.9,185.845,186.015,109391
PLTR,2026-08-28,09:33,186.025,186.4205,185.77,186.1062,71962
PLTR,2026-08-28,09:34,186.1,186.8899,185.65,186.62,133998
PLTR,2026-08-28,09:35,186.68,186.95,185.7201,186.4,110808
PLTR,2026-08-28,09:36,186.364,186.8799,186.26,186.745,91378
PLTR,2026-08-28,09:37,186.695,186.95,186.545,186.81,80639
PLTR,2026-08-28,09:38,186.86,187.15,186.53,187,122496
PLTR,2026-08-28,09:39,187.055,187.17,186.5678,186.6088,69745
PLTR,2026-08-28,09:40,186.6767,187.1799,186.65,186.95,99658
PLTR,2026-08-28,09:41,186.97,187.0999,186.47,186.64,74353
PLTR,2026-08-28,09:42,186.68,186.73,186.3,186.69,62890
PLTR,2026-08-28,09:43,186.685,187.09,186.48,186.53,69090
PLTR,2026-08-28,09:44,186.5,186.99,186.43,186.96,67277
PLTR,2026-08-28,09:45,186.94,187,186.5101,186.65,63368
PLTR,2026-08-28,09:46,186.68,186.7295,185.61,185.61,176431
PLTR,2026-08-28,09:47,185.6125,186.57,185.6125,186.57,98213
PLTR,2026-08-28,09:48,186.57,186.735,186.1701,186.43,121156
PLTR,2026-08-28,09:49,186.37,186.73,186.18,186.5147,136989
PLTR,2026-08-28,09:50,186.69,187.37,186.69,186.82,121937
PLTR,2026-08-28,09:51,186.825,187.22,186.7764,187.12,86746
PLTR,2026-08-28,09:52,187.116,187.3465,186.77,186.7798,107496
PLTR,2026-08-28,09:53,186.8483,187.18,186.76,186.845,84410
PLTR,2026-08-28,09:54,186.82,187.0587,186.555,186.91,72383
PLTR,2026-08-28,09:55,186.9,186.94,186.52,186.58,64329
PLTR,2026-08-28,09:56,186.51,186.92,185.9501,186.3,74139
PLTR,2026-08-28,09:57,186.26,186.42,185.43,185.44,69931
PLTR,2026-08-28,09:58,185.4574,185.5299,185.03,185.345,74145
PLTR,2026-08-28,09:59,185.35,185.94,185.32,185.62,65271
PLTR,2026-08-28,10:00,185.635,186.13,185.375,185.97,66231
PLTR,2026-08-28,10:01,185.94,186.015,185.31,185.33,54397
PLTR,2026-08-28,10:02,185.415,185.605,185.33,185.451,43705
PLTR,2026-08-28,10:03,185.45,185.74,185.38,185.39,47369
PLTR,2026-08-28,10:04,185.435,185.835,185.3701,185.83,47381
PLTR,2026-08-28,10:05,185.76,185.9677,185.65,185.675,62811
PLTR,2026-08-28,10:06,185.6401,185.77,185.39,185.5,72306
PLTR,2026-08-28,10:07,185.46,185.83,185.38,185.65,66346
PLTR,2026-08-28,10:08,185.67,185.72,185.21,185.4473,55931
PLTR,2026-08-28,10:09,185.485,185.58,185.17,185.2348,37916
PLTR,2026-08-28,10:10,185.22,185.34,184.86,184.9022,70084
