symbol,date,time,open,high,low,close,volume
QCOM,2026-08-28,09:30,164.59,164.87,163.94,164.33,191428
QCOM,2026-08-28,09:31,164.65,165.28,164.65,165.28,14267
QCOM,2026-08-28,09:32,165.235,165.235,164.84,164.84,32434
QCOM,2026-08-28,09:33,164.925,165.1,164.64,165.08,20340
QCOM,2026-08-28,09:34,165.04,165.49,164.9,164.995,24073
QCOM,2026-08-28,09:35,164.89,165.18,164.465,164.67,24997
QCOM,2026-08-28,09:36,164.8,164.8,163.89,163.89,26830
QCOM,2026-08-28,09:37,164.02,164.2399,163.64,163.64,8898
QCOM,2026-08-28,09:38,163.69,163.7979,163.26,163.34,9450
QCOM,2026-08-28,09:39,163.4,163.7,163.2701,163.475,10906
QCOM,2026-08-28,09:40,163.469,163.9,163.37,163.9,17255
QCOM,2026-08-28,09:41,163.7501,164.23,163.7501,164.21,8619
QCOM,2026-08-28,09:42,164.31,164.5,163.9846,163.9846,9893
QCOM,2026-08-28,09:43,164.075,164.075,163.89,163.98,6152
QCOM,2026-08-28,09:44,163.93,164.13,163.8701,164.12,5352
QCOM,2026-08-28,09:45,164.19,164.3437,164.15,164.33,12182
QCOM,2026-08-28,09:46,164.2301,164.38,163.97,164.06,12440
QCOM,2026-08-28,09:47,164.06,164.16,163.93,163.99,6916
QCOM,2026-08-28,09:48,164,164.07,163.68,164.06,21219
QCOM,2026-08-28,09:49,164.075,164.085,163.7,163.76,15682
QCOM,2026-08-28,09:50,163.69,163.8,163.61,163.8,12910
QCOM,2026-08-28,09:51,163.9,163.9,163.67,163.75,6264
QCOM,2026-08-28,09:52,163.74,163.93,163.65,163.79,16044
QCOM,2026-08-28,09:53,163.755,163.93,163.755,163.93,5288
QCOM,2026-08-28,09:54,163.9595,164.0443,163.89,164.0325,5315
QCOM,2026-08-28,09:55,163.93,164.03,163.66,164.03,9760
QCOM,2026-08-28,09:56,163.97,164,163.875,163.895,7957
QCOM,2026-08-28,09:57,163.93,164.08,163.85,163.99,6471
QCOM,2026-08-28,09:58,163.89,164,163.875,164,2491
QCOM,2026-08-28,09:59,164.005,164.005,163.5,163.5,16228
QCOM,2026-08-28,10:00,163.52,163.93,163.21,163.7675,13496
QCOM,2026-08-28,10:01,163.79,163.79,163.53,163.53,9934
QCOM,2026-08-28,10:02,163.7,163.7,163.28,163.42,10555
QCOM,2026-08-28,10:03,163.42,163.4999,163.26,163.26,4185
QCOM,2026-08-28,10:04,163.1,163.49,163.1,163.42,14117
QCOM,2026-08-28,10:05,163.405,163.405,163.05,163.06,9702
QCOM,2026-08-28,10:06,163.105,163.15,163.03,163.13,8129
QCOM,2026-08-28,10:07,163.185,163.185,162.9,163.01,14011
QCOM,2026-08-28,10:08,163.1,163.26,163,163.26,7353
QCOM,2026-08-28,10:09,163.35,163.35,162.84,162.87,7473
QCOM,2026-08-28,10:10,162.84,162.985,162.7,162.7,15419
QCOM,2026-08-28,10:11,162.77,162.79,162.62,162.72,8667
QCOM,2026-08-28,10:12,162.8999,162.8999,162.42,162.595,29636
QCOM,2026-08-28,10:13,162.585,162.64,162.15,162.2157,11731
QCOM,2026-08-28,10:14,162.15,162.375,162.09,162.12,14137
QCOM,2026-08-28,10:15,162.24,162.52,162.24,162.52,7322
QCOM,2026-08-28,10:16,162.66,162.7,162.27,162.48,11669
QCOM,2026-08-28,10:17,162.535,162.69,162.45,162.69,5211
QCOM,2026-08-28,10:18,162.67,162.8291,162.5701,162.695,11556
QCOM,2026-08-28,10:19,162.685,162.72,162.495,162.62,9917
QCOM,2026-08-28,10:20,162.72,163.09,162.665,162.905,11040
QCOM,2026-08-28,10:21,162.97,163.21,162.93,163.21,6921
QCOM,2026-08-28,10:22,163.2,163.35,163.1,163.3,8559
QCOM,2026-08-28,10:23,163.27,163.27,162.94,162.94,8202
QCOM,2026-08-28,10:24,162.9,163.1,162.9,163.1,7365
QCOM,2026-08-28,10:25,163.17,163.26,163.15,163.2,5738
QCOM,2026-08-28,10:26,163.1175,163.1454,162.9755,162.9755,8510
QCOM,2026-08-28,10:27,163.235,163.235,162.99,163.025,14755
QCOM,2026-08-28,10:28,163,163.26,163,163.19,5887
QCOM,2026-08-28,10:29,163.19,163.4,163.15,163.315,14160
QCOM,2026-08-28,10:30,163.4,163.4,162.995,163.165,10827
QCOM,2026-08-28,10:31,163.14,163.31,163.0301,163.2,7489
QCOM,2026-08-28,10:32,163.12,163.305,163.12,163.305,3233
QCOM,2026-08-28,10:33,163.28,163.47,163.21,163.345,6716
QCOM,2026-08-28,10:34,163.3988,163.71,163.3988,163.7,32006
QCOM,2026-08-28,10:35,163.68,163.97,163.64,163.65,9982
QCOM,2026-08-28,10:36,163.73,164,163.71,163.78,12142
QCOM,2026-08-28,10:37,163.78,164.03,163.7596,163.88,3482
QCOM,2026-08-28,10:38,163.9451,164.1548,163.89,164.075,12612
QCOM,2026-08-28,10:39,164.04,164.1,163.93,164.02,13921
QCOM,2026-08-28,10:40,164.01,164.26,164.01,164.245,10828
QCOM,2026-08-28,10:41,164.24,164.25,163.885,163.89,9744
QCOM,2026-08-28,10:42,163.98,164.24,163.98,164.195,11468
QCOM,2026-08-28,10:43,164.205,164.24,164.1,164.24,5445
QCOM,2026-08-28,10:44,164.19,164.44,164.19,164.36,10042
QCOM,2026-08-28,10:45,164.36,164.42,164.22,164.2457,11356
QCOM,2026-08-28,10:46,164.235,164.3,164.0306,164.2,9566
QCOM,2026-08-28,10:47,164.125,164.3,164.1,164.1,6648
QCOM,2026-08-28,10:48,164.13,164.1301,163.8775,163.8775,5522
QCOM,2026-08-28,10:49,163.88,164.04,163.87,164.04,5627
QCOM,2026-08-28,10:50,164.06,164.305,164.002,164.23,13014
QCOM,2026-08-28,10:51,164.2,164.23,164.15,164.165,4974
QCOM,2026-08-28,10:52,164.23,164.275,163.95,163.98,8906
QCOM,2026-08-28,10:53,164.03,164.03,163.85,164.03,16358
QCOM,2026-08-28,10:54,164.07,164.2,164.05,164.05,5295
QCOM,2026-08-28,10:55,164.09,164.36,164.09,164.3,10802
QCOM,2026-08-28,10:56,164.41,164.42,164.315,164.33,7075
QCOM,2026-08-28,10:57,164.3,164.3,164.1601,164.25,6594
QCOM,2026-08-28,10:58,164.195,164.385,164.185,164.385,4332
QCOM,2026-08-28,10:59,164.41,164.46,164.3,164.46,7236
QCOM,2026-08-28,11:00,164.441,164.54,164.4,164.54,16304
QCOM,2026-08-28,11:01,164.54,164.56,164.19,164.19,8329
QCOM,2026-08-28,11:02,164.175,164.18,164.135,164.15,6568
QCOM,2026-08-28,11:03,164.175,164.1799,164,164.14,4213
QCOM,2026-08-28,11:04,164.12,164.12,164.02,164.03,8636
QCOM,2026-08-28,11:05,164.025,164.235,164.025,164.205,9551
QCOM,2026-08-28,11:06,164.205,164.205,163.98,163.98,4206
QCOM,2026-08-28,11:07,164.075,164.09,164.01,164.09,5246
QCOM,2026-08-28,11:08,164.15,164.15,164.065,164.0774,6146
QCOM,2026-08-28,11:09,164.09,164.1199,163.97,164.02,11215
QCOM,2026-08-28,11:10,164.1,164.3,164.085,164.3,6591
QCOM,2026-08-28,11:11,164.17,164.21,164.04,164.18,5892
QCOM,2026-08-28,11:12,164.1275,164.1275,164.01,164.06,10232
QCOM,2026-08-28,11:13,164.055,164.38,164.055,164.36,12694
QCOM,2026-08-28,11:14,164.34,164.46,164.3176,164.34,9220
QCOM,2026-08-28,11:15,164.34,164.77,164.34,164.635,13163
QCOM,2026-08-28,11:16,164.595,164.62,164.52,164.555,7674
QCOM,2026-08-28,11:17,164.56,164.6,164.51,164.575,5591
QCOM,2026-08-28,11:18,164.53,164.53,164.25,164.4,13166
