symbol,date,status,reason,expected,unique,coverage,missing,dupes,first,last,missingList,dupeList
"AAPL","2026-09-08","FULL","",390,390,100,0,0,"09:30","15:59","",""
"AAPL","2026-09-09","FULL","",390,390,100,0,0,"09:30","15:59","",""
"AAPL","2026-09-10","FULL","",390,390,100,0,0,"09:30","15:59","",""
"AAPL","2026-09-11","FULL","",390,390,100,0,0,"09:30","15:59","",""
"AAPL","2026-09-14","FULL","",390,390,100,0,0,"09:30","15:59","",""
"AAPL","2026-09-15","FULL","",390,390,100,0,0,"09:30","15:59","",""
"AAPL","2026-09-16","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ABBV","2026-09-08","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ABBV","2026-09-09","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ABBV","2026-09-10","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ABBV","2026-09-11","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ABBV","2026-09-14","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ABBV","2026-09-15","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ABBV","2026-09-16","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ABNB","2026-09-02","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ABNB","2026-09-03","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ABNB","2026-09-04","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ABNB","2026-09-08","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ABNB","2026-09-09","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ABNB","2026-09-10","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ABNB","2026-09-11","PARTIAL","1 duplicate timestamps",390,390,100,0,1,"09:30","15:59","","14:17"
"ABT","2026-09-08","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ABT","2026-09-09","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ABT","2026-09-10","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ABT","2026-09-11","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ABT","2026-09-14","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ABT","2026-09-15","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ABT","2026-09-16","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ADBE","2026-09-08","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ADBE","2026-09-09","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ADBE","2026-09-10","FULL","",390,390,100,0,0,"09:30","15:59","",""
