symbol,date,status,reason,unique,expected,coverage,missing,first,last,missingSample
"AAPL","2026-08-26","FULL","",390,390,100,0,"09:30","15:59",""
"AAPL","2026-08-27","FULL","",390,390,100,0,"09:30","15:59",""
"AAPL","2026-08-28","FULL","",390,390,100,0,"09:30","15:59",""
"AAPL","2026-08-31","FULL","",390,390,100,0,"09:30","15:59",""
"AAPL","2026-09-01","FULL","",390,390,100,0,"09:30","15:59",""
"AAPL","2026-09-02","FULL","",390,390,100,0,"09:30","15:59",""
"AAPL","2026-09-03","FULL","",390,390,100,0,"09:30","15:59",""
"AAPL","2026-09-04","FULL","",390,390,100,0,"09:30","15:59",""
"AAPL","2026-09-08","FULL","",390,390,100,0,"09:30","15:59",""
"AAPL","2026-09-09","FULL","",390,390,100,0,"09:30","15:59",""
"AAPL","2026-09-10","FULL","",390,390,100,0,"09:30","15:59",""
"AAPL","2026-09-11","FULL","",390,390,100,0,"09:30","15:59",""
"AAPL","2026-09-14","FULL","",390,390,100,0,"09:30","15:59",""
"AAPL","2026-09-15","FULL","",390,390,100,0,"09:30","15:59",""
"AAPL","2026-09-16","FULL","",390,390,100,0,"09:30","15:59",""
"AAPL","2026-09-17","PARTIAL","328 missing minutes",62,390,15.9,328,"09:30","10:31","10:32 10:33 10:34 10:35 10:36 10:37 10:38 10:39 10:40 10:41"
"AMD","2026-08-28","FULL","",390,390,100,0,"09:30","15:59",""
"AMD","2026-08-31","FULL","",390,390,100,0,"09:30","15:59",""
"AMD","2026-09-01","FULL","",390,390,100,0,"09:30","15:59",""
"AMD","2026-09-02","FULL","",390,390,100,0,"09:30","15:59",""
"AMD","2026-09-03","FULL","",390,390,100,0,"09:30","15:59",""
"AMD","2026-09-04","FULL","",390,390,100,0,"09:30","15:59",""
"AMZN","2026-08-26","FULL","",390,390,100,0,"09:30","15:59",""
"AMZN","2026-08-27","FULL","",390,390,100,0,"09:30","15:59",""
"AMZN","2026-08-28","FULL","",390,390,100,0,"09:30","15:59",""
"AMZN","2026-08-31","FULL","",390,390,100,0,"09:30","15:59",""
"AMZN","2026-09-01","FULL","",390,390,100,0,"09:30","15:59",""
"AMZN","2026-09-02","FULL","",390,390,100,0,"09:30","15:59",""
"AMZN","2026-09-03","FULL","",390,390,100,0,"09:30","15:59",""
"AMZN","2026-09-04","FULL","",390,390,100,0,"09:30","15:59",""
"ANET","2026-08-28","PARTIAL","2 missing minutes",388,390,99.49,2,"09:30","15:59","14:28 14:31"
"ANET","2026-08-31","FULL","",390,390,100,0,"09:30","15:59",""
"ANET","2026-09-01","FULL","",390,390,100,0,"09:30","15:59",""
"ANET","2026-09-02","FULL","",390,390,100,0,"09:30","15:59",""
"ANET","2026-09-03","FULL","",390,390,100,0,"09:30","15:59",""
